"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	3	4	178	0	"Genetic"
"5"	2	5	107	0	"Genetic"
"6"	1	6	88	0	"Genetic"
"7"	4	7	49	0	"Genetic"
"8"	3	8	42	0	"Genetic"
"9"	7	9	37	0	"Genetic"
"10"	2	10	36	0	"Genetic"
"11"	10	11	25	0	"Genetic"
"12"	5	12	16	0	"Genetic"
"13"	6	13	8	0	"Genetic"
