"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	430	0	"Genetic"
"5"	1	5	428	0	"Genetic"
"6"	2	6	360	0	"Genetic"
"7"	5	7	357	0	"Genetic"
"8"	1	8	354	0	"Genetic"
"9"	4	9	354	0	"Genetic"
"10"	2	10	288	0	"Genetic"
"11"	6	11	288	102	"Genetic"
"12"	5	12	287	0	"Genetic"
"13"	1	13	286	0	"Genetic"
"14"	9	14	284	0	"Genetic"
"15"	4	15	282	0	"Genetic"
"16"	8	16	280	22	"Genetic"
"17"	7	17	277	0	"Genetic"
"18"	12	18	217	0	"Genetic"
"19"	1	19	214	0	"Genetic"
"20"	2	20	212	0	"Genetic"
"21"	7	21	210	0	"Genetic"
"22"	14	22	210	0	"Genetic"
"23"	5	23	209	0	"Genetic"
"24"	10	24	208	0	"Genetic"
"25"	4	25	207	0	"Genetic"
"26"	8	26	206	0	"Genetic"
"27"	15	27	206	52	"Genetic"
"28"	13	28	205	0	"Genetic"
"29"	6	29	204	0	"Genetic"
"30"	9	30	204	0	"Genetic"
"31"	16	31	202	12	"Genetic"
"32"	11	32	199	52	"Genetic"
"33"	17	33	199	0	"Genetic"
"34"	12	34	147	0	"Genetic"
"35"	18	35	146	0	"Genetic"
"36"	20	36	146	0	"Genetic"
"37"	1	37	144	0	"Genetic"
"38"	2	38	138	0	"Genetic"
"39"	23	39	138	0	"Genetic"
"40"	21	40	137	0	"Genetic"
"41"	22	41	137	0	"Genetic"
"42"	24	42	137	0	"Genetic"
"43"	7	43	136	0	"Genetic"
"44"	28	44	136	0	"Genetic"
"45"	5	45	135	0	"Genetic"
"46"	14	46	135	0	"Genetic"
"47"	30	47	135	0	"Genetic"
"48"	4	48	134	0	"Genetic"
"49"	19	49	134	0	"Genetic"
"50"	26	50	134	0	"Genetic"
"51"	13	51	133	0	"Genetic"
"52"	9	52	130	0	"Genetic"
"53"	27	53	128	92	"Genetic"
"54"	17	54	127	0	"Genetic"
"55"	29	55	127	0	"Genetic"
"56"	31	56	127	0	"Genetic"
"57"	8	57	126	0	"Genetic"
"58"	15	58	126	92	"Genetic"
"59"	25	59	126	0	"Genetic"
"60"	33	60	126	0	"Genetic"
"61"	10	61	125	0	"Genetic"
"62"	16	62	124	42	"Genetic"
"63"	6	63	112	0	"Genetic"
"64"	11	64	107	0	"Genetic"
"65"	32	65	107	52	"Genetic"
"66"	35	66	76	0	"Genetic"
"67"	36	67	76	0	"Genetic"
"68"	37	68	76	0	"Genetic"
"69"	1	69	72	0	"Genetic"
"70"	12	70	72	0	"Genetic"
"71"	18	71	72	0	"Genetic"
"72"	20	72	72	12	"Genetic"
"73"	28	73	68	0	"Genetic"
"74"	34	74	68	0	"Genetic"
"75"	14	75	67	0	"Genetic"
"76"	26	76	67	0	"Genetic"
"77"	40	77	67	0	"Genetic"
"78"	43	78	67	0	"Genetic"
"79"	4	79	66	0	"Genetic"
"80"	7	80	66	0	"Genetic"
"81"	19	81	66	0	"Genetic"
"82"	42	82	66	0	"Genetic"
"83"	47	83	66	0	"Genetic"
"84"	2	84	65	0	"Genetic"
"85"	30	85	65	0	"Genetic"
"86"	39	86	65	0	"Genetic"
"87"	21	87	64	0	"Genetic"
"88"	44	88	64	0	"Genetic"
"89"	51	89	64	12	"Genetic"
"90"	23	90	63	0	"Genetic"
"91"	48	91	63	0	"Genetic"
"92"	49	92	61	0	"Genetic"
"93"	45	93	60	0	"Genetic"
"94"	46	94	60	0	"Genetic"
"95"	38	95	59	0	"Genetic"
"96"	5	96	56	0	"Genetic"
"97"	10	97	55	0	"Genetic"
"98"	25	98	55	0	"Genetic"
"99"	41	99	54	0	"Genetic"
"100"	60	100	54	0	"Genetic"
"101"	13	101	52	52	"Genetic"
"102"	33	102	52	0	"Genetic"
"103"	56	103	51	0	"Genetic"
"104"	54	104	50	0	"Genetic"
"105"	61	105	50	0	"Genetic"
"106"	50	106	49	0	"Genetic"
"107"	55	107	49	0	"Genetic"
"108"	52	108	48	0	"Genetic"
"109"	6	109	44	0	"Genetic"
"110"	57	110	40	0	"Genetic"
"111"	31	111	38	2	"Genetic"
"112"	59	112	38	0	"Genetic"
"113"	8	113	37	0	"Genetic"
"114"	63	114	36	0	"Genetic"
"115"	9	115	35	0	"Genetic"
"116"	17	116	34	0	"Genetic"
"117"	71	117	0	0	"Genetic"
