"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	431	0	"Genetic"
"5"	2	5	428	0	"Genetic"
"6"	1	6	361	0	"Genetic"
"7"	4	7	359	0	"Genetic"
"8"	2	8	357	52	"Genetic"
"9"	5	9	356	0	"Genetic"
"10"	6	10	289	0	"Genetic"
"11"	8	11	289	0	"Genetic"
"12"	7	12	286	0	"Genetic"
"13"	2	13	285	42	"Genetic"
"14"	5	14	285	0	"Genetic"
"15"	9	15	284	0	"Genetic"
"16"	1	16	281	0	"Genetic"
"17"	4	17	280	0	"Genetic"
"18"	6	18	217	0	"Genetic"
"19"	10	19	215	0	"Genetic"
"20"	11	20	215	0	"Genetic"
"21"	7	21	214	0	"Genetic"
"22"	9	22	214	0	"Genetic"
"23"	8	23	210	0	"Genetic"
"24"	12	24	210	0	"Genetic"
"25"	17	25	210	0	"Genetic"
"26"	5	26	209	0	"Genetic"
"27"	16	27	208	0	"Genetic"
"28"	2	28	207	0	"Genetic"
"29"	14	29	207	0	"Genetic"
"30"	15	30	201	0	"Genetic"
"31"	4	31	200	0	"Genetic"
"32"	13	32	196	42	"Genetic"
"33"	1	33	185	0	"Genetic"
"34"	19	34	148	0	"Genetic"
"35"	7	35	146	0	"Genetic"
"36"	11	36	146	0	"Genetic"
"37"	21	37	145	0	"Genetic"
"38"	20	38	144	0	"Genetic"
"39"	17	39	142	0	"Genetic"
"40"	10	40	140	0	"Genetic"
"41"	6	41	136	0	"Genetic"
"42"	16	42	136	0	"Genetic"
"43"	25	43	135	0	"Genetic"
"44"	27	44	135	0	"Genetic"
"45"	18	45	134	0	"Genetic"
"46"	24	46	134	0	"Genetic"
"47"	22	47	133	0	"Genetic"
"48"	26	48	133	12	"Genetic"
"49"	28	49	130	0	"Genetic"
"50"	5	50	129	0	"Genetic"
"51"	15	51	129	0	"Genetic"
"52"	9	52	128	12	"Genetic"
"53"	2	53	126	0	"Genetic"
"54"	31	54	125	0	"Genetic"
"55"	12	55	124	0	"Genetic"
"56"	30	56	124	0	"Genetic"
"57"	14	57	120	0	"Genetic"
"58"	32	58	119	92	"Genetic"
"59"	23	59	118	112	"Genetic"
"60"	8	60	117	52	"Genetic"
"61"	33	61	114	0	"Genetic"
"62"	1	62	105	0	"Genetic"
"63"	29	63	97	22	"Genetic"
"64"	4	64	93	0	"Genetic"
"65"	21	65	76	0	"Genetic"
"66"	37	66	76	0	"Genetic"
"67"	35	67	74	0	"Genetic"
"68"	36	68	74	0	"Genetic"
"69"	39	69	74	0	"Genetic"
"70"	7	70	72	0	"Genetic"
"71"	11	71	70	0	"Genetic"
"72"	17	72	68	0	"Genetic"
"73"	25	73	67	0	"Genetic"
"74"	45	74	67	0	"Genetic"
"75"	27	75	66	0	"Genetic"
"76"	41	76	66	0	"Genetic"
"77"	46	77	66	0	"Genetic"
"78"	24	78	65	0	"Genetic"
"79"	44	79	65	0	"Genetic"
"80"	19	80	64	0	"Genetic"
"81"	22	81	64	0	"Genetic"
"82"	40	82	64	0	"Genetic"
"83"	43	83	64	0	"Genetic"
"84"	34	84	63	0	"Genetic"
"85"	38	85	63	0	"Genetic"
"86"	48	86	63	0	"Genetic"
"87"	26	87	62	0	"Genetic"
"88"	10	88	59	0	"Genetic"
"89"	20	89	59	0	"Genetic"
"90"	6	90	58	0	"Genetic"
"91"	54	91	57	0	"Genetic"
"92"	55	92	57	0	"Genetic"
"93"	16	93	56	0	"Genetic"
"94"	30	94	56	0	"Genetic"
"95"	56	95	54	0	"Genetic"
"96"	31	96	52	0	"Genetic"
"97"	12	97	50	0	"Genetic"
"98"	50	98	50	0	"Genetic"
"99"	5	99	49	0	"Genetic"
"100"	49	100	46	12	"Genetic"
"101"	14	101	44	0	"Genetic"
"102"	33	102	44	0	"Genetic"
"103"	53	103	44	0	"Genetic"
"104"	15	104	43	0	"Genetic"
"105"	42	105	40	0	"Genetic"
"106"	51	106	39	0	"Genetic"
"107"	18	107	38	0	"Genetic"
"108"	61	108	30	0	"Genetic"
"109"	62	109	27	0	"Genetic"
"110"	4	110	24	0	"Genetic"
"111"	64	111	20	0	"Genetic"
"112"	1	112	17	0	"Genetic"
"113"	69	113	0	0	"Genetic"
