"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	409	0	"Genetic"
"5"	2	5	382	0	"Genetic"
"6"	3	6	371	0	"Genetic"
"7"	1	7	310	0	"Genetic"
"8"	2	8	290	0	"Genetic"
"9"	4	9	273	0	"Genetic"
"10"	5	10	269	0	"Genetic"
"11"	6	11	261	0	"Genetic"
"12"	3	12	252	0	"Genetic"
"13"	1	13	199	0	"Genetic"
"14"	8	14	167	0	"Genetic"
"15"	5	15	138	0	"Genetic"
