"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	420	0	"Genetic"
"5"	1	5	411	0	"Genetic"
"6"	2	6	349	0	"Genetic"
"7"	4	7	331	0	"Genetic"
"8"	1	8	319	0	"Genetic"
"9"	5	9	314	0	"Genetic"
"10"	2	10	269	0	"Genetic"
"11"	4	11	254	0	"Genetic"
"12"	6	12	252	0	"Genetic"
"13"	7	13	237	0	"Genetic"
"14"	9	14	236	0	"Genetic"
"15"	5	15	208	0	"Genetic"
"16"	1	16	175	0	"Genetic"
