"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	431	0	"Genetic"
"5"	1	5	430	0	"Genetic"
"6"	4	6	362	12	"Genetic"
"7"	1	7	361	0	"Genetic"
"8"	2	8	361	0	"Genetic"
"9"	5	9	360	0	"Genetic"
"10"	4	10	296	0	"Genetic"
"11"	7	11	291	0	"Genetic"
"12"	8	12	291	12	"Genetic"
"13"	1	13	287	0	"Genetic"
"14"	6	14	287	72	"Genetic"
"15"	9	15	287	0	"Genetic"
"16"	2	16	284	0	"Genetic"
"17"	5	17	283	0	"Genetic"
"18"	10	18	225	0	"Genetic"
"19"	4	19	209	0	"Genetic"
"20"	8	20	209	0	"Genetic"
"21"	12	21	207	0	"Genetic"
"22"	6	22	206	0	"Genetic"
"23"	7	23	206	0	"Genetic"
"24"	9	24	204	0	"Genetic"
"25"	11	25	202	0	"Genetic"
"26"	14	26	202	0	"Genetic"
"27"	5	27	200	0	"Genetic"
"28"	15	28	198	0	"Genetic"
"29"	13	29	196	0	"Genetic"
"30"	16	30	196	0	"Genetic"
"31"	17	31	192	0	"Genetic"
"32"	1	32	188	0	"Genetic"
"33"	2	33	185	0	"Genetic"
"34"	18	34	142	0	"Genetic"
"35"	7	35	132	0	"Genetic"
"36"	11	36	132	0	"Genetic"
"37"	9	37	130	0	"Genetic"
"38"	10	38	130	0	"Genetic"
"39"	13	39	128	0	"Genetic"
"40"	25	40	126	0	"Genetic"
"41"	27	41	125	0	"Genetic"
"42"	22	42	124	0	"Genetic"
"43"	5	43	122	0	"Genetic"
"44"	29	44	122	0	"Genetic"
"45"	28	45	120	0	"Genetic"
"46"	19	46	118	0	"Genetic"
"47"	15	47	117	0	"Genetic"
"48"	20	48	117	0	"Genetic"
"49"	17	49	116	0	"Genetic"
"50"	24	50	116	0	"Genetic"
"51"	30	51	116	0	"Genetic"
"52"	31	52	116	0	"Genetic"
"53"	32	53	112	0	"Genetic"
"54"	8	54	111	0	"Genetic"
"55"	6	55	110	0	"Genetic"
"56"	26	56	109	0	"Genetic"
"57"	1	57	108	0	"Genetic"
"58"	4	58	101	0	"Genetic"
"59"	14	59	91	0	"Genetic"
"60"	12	60	89	0	"Genetic"
"61"	16	61	87	0	"Genetic"
"62"	33	62	80	0	"Genetic"
"63"	23	63	72	0	"Genetic"
"64"	18	64	70	0	"Genetic"
"65"	34	65	64	0	"Genetic"
"66"	11	66	60	0	"Genetic"
"67"	36	67	59	0	"Genetic"
"68"	10	68	57	0	"Genetic"
"69"	21	69	56	0	"Genetic"
"70"	27	70	56	0	"Genetic"
"71"	35	71	56	0	"Genetic"
"72"	40	72	55	0	"Genetic"
"73"	5	73	54	0	"Genetic"
"74"	7	74	54	0	"Genetic"
"75"	43	75	54	0	"Genetic"
"76"	13	76	53	0	"Genetic"
"77"	25	77	53	0	"Genetic"
"78"	38	78	53	0	"Genetic"
"79"	44	79	52	0	"Genetic"
"80"	39	80	50	0	"Genetic"
"81"	41	81	49	0	"Genetic"
"82"	9	82	48	0	"Genetic"
"83"	17	83	46	0	"Genetic"
"84"	31	84	45	0	"Genetic"
"85"	52	85	45	0	"Genetic"
"86"	22	86	44	0	"Genetic"
"87"	48	87	44	0	"Genetic"
"88"	49	88	43	0	"Genetic"
"89"	29	89	40	0	"Genetic"
"90"	42	90	40	0	"Genetic"
"91"	45	91	40	0	"Genetic"
"92"	15	92	39	0	"Genetic"
"93"	2	93	37	0	"Genetic"
"94"	24	94	37	0	"Genetic"
"95"	32	95	34	0	"Genetic"
"96"	28	96	33	0	"Genetic"
"97"	1	97	32	0	"Genetic"
"98"	50	98	25	0	"Genetic"
"99"	19	99	24	0	"Genetic"
"100"	51	100	22	0	"Genetic"
"101"	30	101	21	0	"Genetic"
"102"	57	102	19	0	"Genetic"
"103"	16	103	15	0	"Genetic"
"104"	53	104	10	0	"Genetic"
"105"	20	105	7	0	"Genetic"
"106"	58	106	6	0	"Genetic"
