"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	2	"GENETIC"
"4"	1	4	420	0	"Genetic"
"5"	3	5	416	0	"Genetic"
"6"	2	6	414	0	"Genetic"
"7"	3	7	348	12	"Genetic"
"8"	4	8	343	0	"Genetic"
"9"	5	9	340	0	"Genetic"
"10"	1	10	337	0	"Genetic"
"11"	6	11	332	0	"Genetic"
"12"	2	12	322	162	"Genetic"
"13"	7	13	272	0	"Genetic"
"14"	4	14	271	0	"Genetic"
"15"	3	15	266	22	"Genetic"
"16"	5	16	262	22	"Genetic"
"17"	9	17	262	0	"Genetic"
"18"	8	18	260	0	"Genetic"
"19"	10	19	257	0	"Genetic"
"20"	1	20	253	0	"Genetic"
"21"	6	21	252	42	"Genetic"
"22"	11	22	252	0	"Genetic"
"23"	12	23	248	72	"Genetic"
"24"	2	24	246	0	"Genetic"
"25"	13	25	206	0	"Genetic"
"26"	7	26	203	0	"Genetic"
"27"	14	27	203	0	"Genetic"
"28"	4	28	201	0	"Genetic"
"29"	3	29	200	162	"Genetic"
"30"	15	30	200	72	"Genetic"
"31"	5	31	196	0	"Genetic"
"32"	9	32	193	0	"Genetic"
"33"	17	33	193	0	"Genetic"
"34"	16	34	192	152	"Genetic"
"35"	10	35	191	0	"Genetic"
"36"	8	36	190	0	"Genetic"
"37"	18	37	190	0	"Genetic"
"38"	19	38	188	0	"Genetic"
"39"	21	39	186	0	"Genetic"
"40"	6	40	182	22	"Genetic"
"41"	1	41	181	0	"Genetic"
"42"	11	42	180	0	"Genetic"
"43"	20	43	174	0	"Genetic"
"44"	22	44	174	0	"Genetic"
"45"	2	45	166	0	"Genetic"
"46"	23	46	165	162	"Genetic"
"47"	24	47	150	0	"Genetic"
"48"	13	48	136	0	"Genetic"
"49"	27	49	135	0	"Genetic"
"50"	14	50	132	0	"Genetic"
"51"	15	51	132	0	"Genetic"
"52"	26	52	132	0	"Genetic"
"53"	4	53	130	0	"Genetic"
"54"	5	54	128	0	"Genetic"
"55"	17	55	127	0	"Genetic"
"56"	28	56	127	0	"Genetic"
"57"	33	57	126	0	"Genetic"
"58"	36	58	122	0	"Genetic"
"59"	3	59	121	22	"Genetic"
"60"	10	60	121	0	"Genetic"
"61"	8	61	118	0	"Genetic"
"62"	32	62	116	0	"Genetic"
"63"	38	63	116	0	"Genetic"
"64"	19	64	115	0	"Genetic"
"65"	41	65	115	0	"Genetic"
"66"	9	66	113	0	"Genetic"
"67"	1	67	108	0	"Genetic"
"68"	35	68	108	0	"Genetic"
"69"	22	69	107	0	"Genetic"
"70"	42	70	107	0	"Genetic"
"71"	43	71	107	0	"Genetic"
"72"	18	72	105	0	"Genetic"
"73"	11	73	104	0	"Genetic"
"74"	20	74	102	0	"Genetic"
"75"	25	75	102	0	"Genetic"
"76"	6	76	101	72	"Genetic"
"77"	16	77	93	52	"Genetic"
"78"	45	78	93	0	"Genetic"
"79"	39	79	92	0	"Genetic"
"80"	37	80	89	0	"Genetic"
"81"	31	81	88	0	"Genetic"
"82"	2	82	87	0	"Genetic"
"83"	7	83	84	0	"Genetic"
"84"	40	84	84	52	"Genetic"
"85"	44	85	81	0	"Genetic"
"86"	47	86	74	0	"Genetic"
"87"	84	87	68	42	"Genetic"
"88"	49	88	66	0	"Genetic"
"89"	59	89	66	42	"Genetic"
"90"	14	90	64	0	"Genetic"
"91"	27	91	60	0	"Genetic"
"92"	33	92	60	0	"Genetic"
"93"	50	93	59	0	"Genetic"
"94"	5	94	57	0	"Genetic"
"95"	54	95	56	0	"Genetic"
"96"	28	96	55	0	"Genetic"
"97"	53	97	55	0	"Genetic"
"98"	55	98	54	0	"Genetic"
"99"	70	99	52	12	"Genetic"
"100"	83	100	51	12	"Genetic"
"101"	4	101	50	0	"Genetic"
"102"	51	102	50	0	"Genetic"
"103"	52	103	49	12	"Genetic"
"104"	57	104	49	0	"Genetic"
"105"	10	105	48	0	"Genetic"
"106"	25	106	48	0	"Genetic"
"107"	48	107	48	0	"Genetic"
"108"	79	108	48	0	"Genetic"
"109"	26	109	47	0	"Genetic"
"110"	38	110	47	0	"Genetic"
"111"	19	111	46	0	"Genetic"
"112"	5	112	45	0	"Genetic"
"113"	36	113	45	0	"Genetic"
"114"	64	114	45	0	"Genetic"
"115"	63	115	43	0	"Genetic"
"116"	102	116	43	0	"Genetic"
"117"	65	117	42	0	"Genetic"
"118"	103	118	42	0	"Genetic"
"119"	60	119	41	0	"Genetic"
"120"	72	120	39	0	"Genetic"
"121"	35	121	38	0	"Genetic"
"122"	72	122	37	0	"Genetic"
"123"	2	123	36	0	"Genetic"
"124"	9	124	36	0	"Genetic"
"125"	17	125	36	0	"Genetic"
"126"	62	126	36	0	"Genetic"
"127"	43	127	35	0	"Genetic"
"128"	26	128	34	0	"Genetic"
"129"	32	129	33	0	"Genetic"
"130"	44	130	33	0	"Genetic"
"131"	20	131	32	0	"Genetic"
"132"	45	132	31	0	"Genetic"
"133"	73	133	30	0	"Genetic"
"134"	4	134	29	0	"Genetic"
"135"	15	135	29	12	"Genetic"
"136"	42	136	29	0	"Genetic"
"137"	68	137	28	0	"Genetic"
"138"	71	138	28	0	"Genetic"
"139"	13	139	27	0	"Genetic"
"140"	67	140	27	0	"Genetic"
"141"	74	141	27	0	"Genetic"
"142"	132	142	27	0	"Genetic"
"143"	13	143	26	0	"Genetic"
"144"	1	144	25	0	"Genetic"
"145"	133	145	25	0	"Genetic"
"146"	62	146	24	0	"Genetic"
"147"	107	147	23	0	"Genetic"
"148"	37	148	22	0	"Genetic"
"149"	70	149	22	0	"Genetic"
"150"	58	150	21	0	"Genetic"
"151"	129	151	21	0	"Genetic"
"152"	78	152	20	0	"Genetic"
"153"	69	153	19	0	"Genetic"
"154"	81	154	19	0	"Genetic"
"155"	56	155	18	0	"Genetic"
"156"	61	156	18	0	"Genetic"
"157"	68	157	18	0	"Genetic"
"158"	79	158	18	0	"Genetic"
"159"	154	159	17	0	"Genetic"
"160"	39	160	16	0	"Genetic"
"161"	53	161	16	0	"Genetic"
"162"	66	162	16	0	"Genetic"
"163"	69	163	15	0	"Genetic"
"164"	162	164	15	0	"Genetic"
"165"	11	165	14	0	"Genetic"
"166"	41	166	14	0	"Genetic"
"167"	82	167	14	0	"Genetic"
"168"	83	168	14	0	"Genetic"
"169"	22	169	13	0	"Genetic"
"170"	82	170	13	0	"Genetic"
"171"	75	171	12	0	"Genetic"
"172"	24	172	10	0	"Genetic"
"173"	160	173	10	0	"Genetic"
"174"	28	174	9	0	"Genetic"
"175"	31	175	9	0	"Genetic"
"176"	31	176	9	0	"Genetic"
"177"	57	177	9	0	"Genetic"
"178"	10	178	8	0	"Genetic"
"179"	11	179	8	0	"Genetic"
"180"	56	180	8	0	"Genetic"
"181"	114	181	8	0	"Genetic"
"182"	123	182	8	0	"Genetic"
"183"	9	183	6	0	"Genetic"
"184"	111	184	6	0	"Genetic"
"185"	130	185	6	0	"Genetic"
"186"	95	186	5	0	"Genetic"
"187"	106	187	5	0	"Genetic"
"188"	121	188	3	0	"Genetic"
"189"	152	189	3	0	"Genetic"
"190"	80	190	1	0	"Genetic"
"191"	80	191	1	0	"Genetic"
"192"	85	192	1	0	"Genetic"
"193"	18	193	0	0	"Genetic"
"194"	86	194	0	0	"Genetic"
