"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	338	0	"Genetic"
"5"	1	5	225	0	"Genetic"
"6"	3	6	205	0	"Genetic"
"7"	2	7	163	0	"Genetic"
"8"	1	8	138	0	"Genetic"
"9"	5	9	137	0	"Genetic"
"10"	4	10	135	0	"Genetic"
"11"	6	11	128	0	"Genetic"
"12"	3	12	117	0	"Genetic"
"13"	2	13	86	0	"Genetic"
"14"	7	14	76	0	"Genetic"
"15"	8	15	68	0	"Genetic"
"16"	1	16	60	0	"Genetic"
"17"	15	17	56	0	"Genetic"
"18"	11	18	47	0	"Genetic"
"19"	16	19	46	0	"Genetic"
"20"	12	20	45	0	"Genetic"
"21"	9	21	44	0	"Genetic"
"22"	4	22	40	0	"Genetic"
"23"	5	23	40	0	"Genetic"
"24"	9	24	39	0	"Genetic"
"25"	11	25	36	0	"Genetic"
"26"	12	26	35	0	"Genetic"
"27"	2	27	32	0	"Genetic"
"28"	22	28	27	0	"Genetic"
"29"	5	29	26	0	"Genetic"
"30"	6	30	25	0	"Genetic"
"31"	30	31	20	0	"Genetic"
"32"	14	32	18	0	"Genetic"
"33"	3	33	13	0	"Genetic"
"34"	27	34	8	0	"Genetic"
"35"	13	35	6	0	"Genetic"
"36"	7	36	1	0	"Genetic"
"37"	7	37	0	0	"Genetic"
"38"	33	38	0	0	"Genetic"
