"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	176	0	"Genetic"
"5"	1	5	165	0	"Genetic"
"6"	4	6	104	0	"Genetic"
"7"	2	7	102	0	"Genetic"
"8"	1	8	94	0	"Genetic"
"9"	5	9	89	0	"Genetic"
"10"	7	10	28	0	"Genetic"
"11"	2	11	26	0	"Genetic"
"12"	6	12	25	0	"Genetic"
"13"	4	13	14	0	"Genetic"
"14"	8	14	4	0	"Genetic"
