"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	403	0	"Genetic"
"5"	2	5	380	0	"Genetic"
"6"	1	6	318	0	"Genetic"
"7"	4	7	286	0	"Genetic"
"8"	5	8	280	0	"Genetic"
"9"	1	9	211	0	"Genetic"
"10"	8	10	180	0	"Genetic"
"11"	5	11	176	0	"Genetic"
"12"	6	12	171	0	"Genetic"
"13"	2	13	170	0	"Genetic"
"14"	4	14	170	0	"Genetic"
"15"	7	15	160	0	"Genetic"
"16"	9	16	135	0	"Genetic"
"17"	1	17	126	0	"Genetic"
"18"	10	18	96	0	"Genetic"
"19"	11	19	96	0	"Genetic"
"20"	5	20	94	0	"Genetic"
"21"	14	21	89	0	"Genetic"
"22"	6	22	79	0	"Genetic"
"23"	8	23	79	0	"Genetic"
"24"	2	24	78	0	"Genetic"
"25"	15	25	78	0	"Genetic"
"26"	4	26	76	0	"Genetic"
"27"	13	27	74	0	"Genetic"
"28"	7	28	69	0	"Genetic"
"29"	12	29	68	0	"Genetic"
"30"	9	30	45	0	"Genetic"
"31"	16	31	38	0	"Genetic"
"32"	17	32	17	0	"Genetic"
"33"	1	33	2	0	"Genetic"
