"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	81	"ROOT"
"2"	1	2	500	113	"GENETIC"
"3"	1	3	500	21	"GENETIC"
"4"	2	4	271	15	"Genetic"
"5"	1	5	270	88	"Genetic"
"6"	1	6	259	93	"Genetic"
"7"	2	7	245	107	"Genetic"
"8"	1	8	243	106	"Genetic"
"9"	1	9	234	81	"Genetic"
"10"	2	10	209	101	"Genetic"
"11"	2	11	190	82	"Genetic"
"12"	2	12	183	90	"Genetic"
"13"	1	13	165	83	"Genetic"
"14"	2	14	153	0	"Genetic"
"15"	2	15	149	41	"Genetic"
"16"	3	16	148	25	"Genetic"
"17"	1	17	147	71	"Genetic"
"18"	3	18	143	0	"Genetic"
"19"	2	19	139	41	"Genetic"
"20"	1	20	138	0	"Genetic"
"21"	3	21	135	10	"Genetic"
"22"	2	22	134	0	"Genetic"
"23"	2	23	129	50	"Genetic"
"24"	2	24	128	0	"Genetic"
"25"	2	25	128	94	"Genetic"
"26"	2	26	128	0	"Genetic"
"27"	1	27	125	0	"Genetic"
"28"	1	28	125	0	"Genetic"
"29"	2	29	125	0	"Genetic"
"30"	2	30	125	41	"Genetic"
"31"	3	31	125	3	"Genetic"
"32"	2	32	124	80	"Genetic"
"33"	29	33	124	9	"Genetic"
"34"	1	34	123	42	"Genetic"
"35"	2	35	123	27	"Genetic"
"36"	2	36	123	0	"Genetic"
"37"	2	37	123	11	"Genetic"
"38"	1	38	122	12	"Genetic"
"39"	1	39	122	0	"Genetic"
"40"	2	40	122	0	"Genetic"
"41"	2	41	121	0	"Genetic"
"42"	2	42	121	46	"Genetic"
"43"	2	43	121	30	"Genetic"
"44"	35	44	121	0	"Genetic"
"45"	1	45	120	51	"Genetic"
"46"	2	46	120	34	"Genetic"
"47"	7	47	120	91	"Genetic"
"48"	2	48	119	92	"Genetic"
"49"	2	49	119	51	"Genetic"
"50"	10	50	119	117	"Genetic"
"51"	26	51	119	0	"Genetic"
"52"	35	52	119	9	"Genetic"
"53"	40	53	119	12	"Genetic"
"54"	40	54	118	0	"Genetic"
"55"	46	55	118	116	"Genetic"
"56"	53	56	118	80	"Genetic"
"57"	40	57	117	31	"Genetic"
"58"	4	58	116	103	"Genetic"
"59"	4	59	116	19	"Genetic"
"60"	7	60	116	91	"Genetic"
"61"	7	61	116	69	"Genetic"
"62"	49	62	116	116	"Genetic"
"63"	49	63	116	108	"Genetic"
"64"	1	64	115	80	"Genetic"
"65"	4	65	115	102	"Genetic"
"66"	4	66	115	51	"Genetic"
"67"	7	67	115	104	"Genetic"
"68"	7	68	115	71	"Genetic"
"69"	29	69	115	0	"Genetic"
"70"	35	70	115	102	"Genetic"
"71"	35	71	115	81	"Genetic"
"72"	46	72	115	93	"Genetic"
