"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	162	0	"Genetic"
"5"	3	5	143	0	"Genetic"
"6"	3	6	142	0	"Genetic"
"7"	2	7	141	0	"Genetic"
"8"	1	8	117	0	"Genetic"
"9"	1	9	113	0	"Genetic"
"10"	3	10	90	0	"Genetic"
"11"	3	11	90	0	"Genetic"
"12"	1	12	87	0	"Genetic"
"13"	10	13	86	0	"Genetic"
"14"	10	14	82	0	"Genetic"
"15"	2	15	76	0	"Genetic"
"16"	1	16	69	0	"Genetic"
"17"	15	17	67	0	"Genetic"
"18"	10	18	62	0	"Genetic"
"19"	2	19	56	0	"Genetic"
"20"	17	20	55	0	"Genetic"
"21"	16	21	51	0	"Genetic"
"22"	10	22	47	0	"Genetic"
"23"	17	23	47	0	"Genetic"
"24"	17	24	47	0	"Genetic"
"25"	10	25	36	0	"Genetic"
"26"	16	26	20	0	"Genetic"
"27"	10	27	13	0	"Genetic"
"28"	16	28	13	0	"Genetic"
"29"	10	29	10	0	"Genetic"
"30"	16	30	9	0	"Genetic"
"31"	16	31	3	0	"Genetic"
"32"	2	32	2	0	"Genetic"
"33"	10	33	1	0	"Genetic"
"34"	10	34	1	0	"Genetic"
