"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	406	0	"Genetic"
"5"	2	5	368	0	"Genetic"
"6"	3	6	351	0	"Genetic"
"7"	1	7	303	0	"Genetic"
"8"	2	8	260	0	"Genetic"
"9"	4	9	254	0	"Genetic"
"10"	3	10	241	0	"Genetic"
"11"	5	11	238	72	"Genetic"
"12"	6	12	214	0	"Genetic"
"13"	7	13	203	0	"Genetic"
"14"	1	14	199	0	"Genetic"
"15"	2	15	180	0	"Genetic"
"16"	8	16	170	0	"Genetic"
"17"	3	17	163	0	"Genetic"
"18"	10	18	163	0	"Genetic"
"19"	11	19	158	12	"Genetic"
"20"	9	20	154	0	"Genetic"
"21"	4	21	149	0	"Genetic"
"22"	12	22	146	0	"Genetic"
"23"	6	23	142	0	"Genetic"
"24"	5	24	141	12	"Genetic"
"25"	7	25	137	0	"Genetic"
"26"	13	26	135	0	"Genetic"
"27"	1	27	126	0	"Genetic"
"28"	14	28	123	0	"Genetic"
"29"	2	29	108	0	"Genetic"
"30"	16	30	104	0	"Genetic"
"31"	8	31	96	0	"Genetic"
"32"	11	32	92	42	"Genetic"
"33"	3	33	91	0	"Genetic"
"34"	10	34	88	0	"Genetic"
"35"	15	35	85	0	"Genetic"
"36"	18	36	83	0	"Genetic"
"37"	4	37	78	0	"Genetic"
"38"	6	38	74	0	"Genetic"
"39"	19	39	74	0	"Genetic"
"40"	6	40	73	0	"Genetic"
"41"	17	41	73	0	"Genetic"
"42"	22	42	72	0	"Genetic"
"43"	20	43	70	0	"Genetic"
"44"	24	44	67	52	"Genetic"
"45"	13	45	65	0	"Genetic"
"46"	44	46	65	42	"Genetic"
"47"	21	47	64	0	"Genetic"
"48"	42	48	64	0	"Genetic"
"49"	26	49	60	0	"Genetic"
"50"	7	50	59	0	"Genetic"
"51"	9	51	59	0	"Genetic"
"52"	12	52	58	0	"Genetic"
"53"	1	53	57	0	"Genetic"
"54"	23	54	56	52	"Genetic"
"55"	5	55	51	0	"Genetic"
"56"	12	56	48	0	"Genetic"
"57"	27	57	48	0	"Genetic"
"58"	14	58	47	0	"Genetic"
"59"	29	59	47	0	"Genetic"
"60"	33	60	42	0	"Genetic"
"61"	35	61	39	0	"Genetic"
"62"	28	62	31	0	"Genetic"
"63"	2	63	30	0	"Genetic"
"64"	16	64	27	0	"Genetic"
"65"	30	65	25	0	"Genetic"
"66"	2	66	23	0	"Genetic"
"67"	8	67	22	0	"Genetic"
"68"	65	68	20	0	"Genetic"
"69"	18	69	19	0	"Genetic"
"70"	25	70	17	0	"Genetic"
"71"	15	71	16	0	"Genetic"
"72"	26	72	16	0	"Genetic"
"73"	50	73	16	0	"Genetic"
"74"	34	74	14	0	"Genetic"
"75"	35	75	11	0	"Genetic"
"76"	64	76	10	0	"Genetic"
"77"	31	77	9	0	"Genetic"
"78"	29	78	7	0	"Genetic"
"79"	17	79	6	0	"Genetic"
"80"	33	80	6	0	"Genetic"
"81"	3	81	4	0	"Genetic"
"82"	38	82	4	0	"Genetic"
"83"	13	83	1	0	"Genetic"
