"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	242	"GENETIC"
"4"	3	4	426	42	"Genetic"
"5"	1	5	415	0	"Genetic"
"6"	2	6	402	0	"Genetic"
"7"	4	7	348	132	"Genetic"
"8"	3	8	344	52	"Genetic"
"9"	1	9	340	0	"Genetic"
"10"	2	10	327	0	"Genetic"
"11"	5	11	322	0	"Genetic"
"12"	6	12	314	0	"Genetic"
"13"	7	13	278	32	"Genetic"
"14"	3	14	274	12	"Genetic"
"15"	4	15	274	12	"Genetic"
"16"	8	16	272	92	"Genetic"
"17"	9	17	270	0	"Genetic"
"18"	1	18	269	0	"Genetic"
"19"	2	19	255	2	"Genetic"
"20"	10	20	255	0	"Genetic"
"21"	5	21	252	0	"Genetic"
"22"	11	22	251	0	"Genetic"
"23"	6	23	244	0	"Genetic"
"24"	12	24	243	0	"Genetic"
"25"	7	25	212	162	"Genetic"
"26"	13	26	210	72	"Genetic"
"27"	15	27	208	192	"Genetic"
"28"	14	28	206	0	"Genetic"
"29"	9	29	204	0	"Genetic"
"30"	17	30	203	0	"Genetic"
"31"	1	31	201	0	"Genetic"
"32"	18	32	190	0	"Genetic"
"33"	19	33	188	0	"Genetic"
"34"	10	34	187	0	"Genetic"
"35"	16	35	187	0	"Genetic"
"36"	2	36	185	0	"Genetic"
"37"	11	37	185	0	"Genetic"
"38"	22	38	183	0	"Genetic"
"39"	5	39	178	0	"Genetic"
"40"	6	40	178	0	"Genetic"
"41"	20	41	178	0	"Genetic"
"42"	21	42	177	0	"Genetic"
"43"	23	43	176	0	"Genetic"
"44"	8	44	163	12	"Genetic"
"45"	24	45	163	0	"Genetic"
"46"	12	46	146	0	"Genetic"
"47"	17	47	137	0	"Genetic"
"48"	9	48	134	0	"Genetic"
"49"	29	49	132	0	"Genetic"
"50"	1	50	131	0	"Genetic"
"51"	14	51	131	12	"Genetic"
"52"	26	52	131	52	"Genetic"
"53"	30	53	129	0	"Genetic"
"54"	4	54	121	92	"Genetic"
"55"	19	55	118	12	"Genetic"
"56"	28	56	118	52	"Genetic"
"57"	34	57	118	0	"Genetic"
"58"	36	58	117	0	"Genetic"
"59"	11	59	113	0	"Genetic"
"60"	10	60	112	0	"Genetic"
"61"	13	61	111	92	"Genetic"
"62"	41	62	110	0	"Genetic"
"63"	20	63	109	0	"Genetic"
"64"	5	64	108	0	"Genetic"
"65"	21	65	108	0	"Genetic"
"66"	39	66	108	0	"Genetic"
"67"	37	67	105	0	"Genetic"
"68"	42	68	105	0	"Genetic"
"69"	38	69	104	0	"Genetic"
"70"	2	70	99	0	"Genetic"
"71"	16	71	98	72	"Genetic"
"72"	31	72	98	0	"Genetic"
"73"	35	73	98	0	"Genetic"
"74"	6	74	97	0	"Genetic"
"75"	18	75	97	0	"Genetic"
"76"	23	76	96	0	"Genetic"
"77"	33	77	96	0	"Genetic"
"78"	32	78	94	0	"Genetic"
"79"	40	79	93	0	"Genetic"
"80"	45	80	92	0	"Genetic"
"81"	22	81	82	0	"Genetic"
"82"	44	82	81	52	"Genetic"
"83"	17	83	70	0	"Genetic"
"84"	29	84	66	0	"Genetic"
"85"	48	85	63	0	"Genetic"
"86"	24	86	62	12	"Genetic"
"87"	12	87	60	0	"Genetic"
"88"	86	88	60	22	"Genetic"
"89"	30	89	59	0	"Genetic"
"90"	51	90	59	0	"Genetic"
"91"	9	91	57	0	"Genetic"
"92"	47	92	56	0	"Genetic"
"93"	51	93	53	0	"Genetic"
"94"	15	94	52	22	"Genetic"
"95"	19	95	51	0	"Genetic"
"96"	19	96	51	0	"Genetic"
"97"	34	97	50	0	"Genetic"
"98"	45	98	50	0	"Genetic"
"99"	49	99	50	0	"Genetic"
"100"	53	100	50	0	"Genetic"
"101"	41	101	49	0	"Genetic"
"102"	63	102	49	0	"Genetic"
"103"	36	103	48	0	"Genetic"
"104"	43	104	48	0	"Genetic"
"105"	6	105	47	0	"Genetic"
"106"	77	106	45	0	"Genetic"
"107"	70	107	44	0	"Genetic"
"108"	1	108	43	0	"Genetic"
"109"	21	109	41	0	"Genetic"
"110"	39	110	41	0	"Genetic"
"111"	66	111	40	0	"Genetic"
"112"	59	112	39	0	"Genetic"
"113"	42	113	38	0	"Genetic"
"114"	58	114	38	0	"Genetic"
"115"	68	115	38	0	"Genetic"
"116"	5	116	37	0	"Genetic"
"117"	62	117	37	0	"Genetic"
"118"	76	118	37	0	"Genetic"
"119"	69	119	36	0	"Genetic"
"120"	103	120	36	0	"Genetic"
"121"	2	121	34	0	"Genetic"
"122"	11	122	34	0	"Genetic"
"123"	65	123	34	0	"Genetic"
"124"	79	124	34	0	"Genetic"
"125"	20	125	33	0	"Genetic"
"126"	31	126	33	0	"Genetic"
"127"	15	127	32	12	"Genetic"
"128"	117	128	32	0	"Genetic"
"129"	50	129	30	0	"Genetic"
"130"	121	130	29	0	"Genetic"
"131"	35	131	26	0	"Genetic"
"132"	14	132	25	22	"Genetic"
"133"	28	133	25	2	"Genetic"
"134"	114	134	25	0	"Genetic"
"135"	131	135	24	0	"Genetic"
"136"	57	136	23	0	"Genetic"
"137"	75	137	23	0	"Genetic"
"138"	75	138	21	0	"Genetic"
"139"	40	139	19	0	"Genetic"
"140"	80	140	19	0	"Genetic"
"141"	98	141	19	0	"Genetic"
"142"	10	142	18	0	"Genetic"
"143"	46	143	18	0	"Genetic"
"144"	63	144	18	0	"Genetic"
"145"	70	145	17	0	"Genetic"
"146"	74	146	17	0	"Genetic"
"147"	78	147	17	0	"Genetic"
"148"	22	148	16	0	"Genetic"
"149"	31	149	16	0	"Genetic"
"150"	33	150	15	0	"Genetic"
"151"	79	151	14	0	"Genetic"
"152"	133	152	14	0	"Genetic"
"153"	150	153	12	0	"Genetic"
"154"	97	154	11	0	"Genetic"
"155"	1	155	10	0	"Genetic"
"156"	76	156	10	0	"Genetic"
"157"	38	157	9	0	"Genetic"
"158"	46	158	9	0	"Genetic"
"159"	69	159	9	0	"Genetic"
"160"	101	160	9	0	"Genetic"
"161"	23	161	8	0	"Genetic"
"162"	77	162	8	0	"Genetic"
"163"	99	163	8	0	"Genetic"
"164"	23	164	6	0	"Genetic"
"165"	48	165	5	0	"Genetic"
"166"	72	166	5	0	"Genetic"
"167"	81	167	5	0	"Genetic"
"168"	139	168	5	0	"Genetic"
"169"	37	169	4	0	"Genetic"
"170"	43	170	4	0	"Genetic"
"171"	60	171	4	0	"Genetic"
"172"	105	172	3	0	"Genetic"
"173"	166	173	3	0	"Genetic"
"174"	167	174	2	0	"Genetic"
"175"	129	175	1	0	"Genetic"
"176"	73	176	0	0	"Genetic"
"177"	142	177	0	0	"Genetic"
