"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	433	0	"Genetic"
"5"	4	5	348	0	"Genetic"
"6"	1	6	306	0	"Genetic"
"7"	3	7	296	0	"Genetic"
"8"	5	8	275	0	"Genetic"
"9"	4	9	255	0	"Genetic"
"10"	1	10	221	0	"Genetic"
"11"	7	11	181	0	"Genetic"
"12"	2	12	167	0	"Genetic"
"13"	6	13	147	0	"Genetic"
"14"	4	14	139	0	"Genetic"
"15"	10	15	137	0	"Genetic"
"16"	8	16	136	0	"Genetic"
"17"	3	17	117	0	"Genetic"
"18"	9	18	116	0	"Genetic"
"19"	7	19	78	0	"Genetic"
"20"	5	20	77	0	"Genetic"
"21"	13	21	70	0	"Genetic"
"22"	6	22	69	0	"Genetic"
"23"	2	23	67	0	"Genetic"
"24"	12	24	67	0	"Genetic"
"25"	16	25	66	0	"Genetic"
"26"	10	26	65	0	"Genetic"
"27"	1	27	58	0	"Genetic"
"28"	11	28	57	0	"Genetic"
"29"	18	29	57	0	"Genetic"
"30"	18	30	49	0	"Genetic"
"31"	4	31	46	0	"Genetic"
"32"	17	32	46	0	"Genetic"
"33"	24	33	43	0	"Genetic"
"34"	25	34	43	0	"Genetic"
"35"	10	35	40	0	"Genetic"
"36"	9	36	38	0	"Genetic"
"37"	17	37	38	0	"Genetic"
"38"	31	38	38	0	"Genetic"
"39"	27	39	37	0	"Genetic"
"40"	3	40	36	0	"Genetic"
"41"	5	41	34	0	"Genetic"
"42"	40	42	34	0	"Genetic"
"43"	14	43	28	0	"Genetic"
"44"	23	44	28	0	"Genetic"
"45"	11	45	26	0	"Genetic"
"46"	14	46	26	0	"Genetic"
"47"	8	47	25	0	"Genetic"
"48"	13	48	24	0	"Genetic"
"49"	47	49	22	0	"Genetic"
"50"	7	50	19	0	"Genetic"
"51"	22	51	16	0	"Genetic"
"52"	15	52	12	0	"Genetic"
"53"	15	53	10	0	"Genetic"
"54"	41	54	6	0	"Genetic"
"55"	20	55	4	0	"Genetic"
"56"	50	56	4	0	"Genetic"
"57"	19	57	3	0	"Genetic"
"58"	20	58	2	0	"Genetic"
"59"	22	59	1	0	"Genetic"
