"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	177	0	"Genetic"
"5"	1	5	126	0	"Genetic"
"6"	2	6	95	0	"Genetic"
"7"	4	7	92	0	"Genetic"
"8"	1	8	54	0	"Genetic"
"9"	5	9	50	0	"Genetic"
"10"	2	10	15	0	"Genetic"
"11"	6	11	15	0	"Genetic"
"12"	7	12	8	0	"Genetic"
"13"	4	13	4	0	"Genetic"
