"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	403	0	"Genetic"
"5"	2	5	276	0	"Genetic"
"6"	1	6	178	0	"Genetic"
"7"	4	7	172	0	"Genetic"
"8"	2	8	170	0	"Genetic"
"9"	5	9	160	0	"Genetic"
"10"	6	10	97	0	"Genetic"
"11"	7	11	94	0	"Genetic"
"12"	1	12	90	0	"Genetic"
"13"	4	13	88	0	"Genetic"
"14"	2	14	80	0	"Genetic"
"15"	8	15	78	0	"Genetic"
"16"	9	16	76	0	"Genetic"
"17"	5	17	66	0	"Genetic"
