"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	3	4	434	0	"Genetic"
"5"	1	5	432	0	"Genetic"
"6"	2	6	432	0	"Genetic"
"7"	4	7	366	0	"Genetic"
"8"	5	8	366	0	"Genetic"
"9"	3	9	364	0	"Genetic"
"10"	6	10	363	0	"Genetic"
"11"	2	11	362	0	"Genetic"
"12"	1	12	358	0	"Genetic"
"13"	7	13	299	0	"Genetic"
"14"	4	14	298	0	"Genetic"
"15"	3	15	297	0	"Genetic"
"16"	6	16	297	0	"Genetic"
"17"	9	17	297	0	"Genetic"
"18"	10	18	297	52	"Genetic"
"19"	11	19	293	0	"Genetic"
"20"	5	20	290	0	"Genetic"
"21"	12	21	289	0	"Genetic"
"22"	2	22	286	0	"Genetic"
"23"	8	23	286	0	"Genetic"
"24"	1	24	276	0	"Genetic"
"25"	13	25	233	0	"Genetic"
"26"	7	26	231	0	"Genetic"
"27"	9	27	231	0	"Genetic"
"28"	10	28	230	22	"Genetic"
"29"	16	29	230	0	"Genetic"
"30"	4	30	229	0	"Genetic"
"31"	17	31	226	0	"Genetic"
"32"	3	32	225	0	"Genetic"
"33"	6	33	225	0	"Genetic"
"34"	15	34	225	0	"Genetic"
"35"	19	35	224	0	"Genetic"
"36"	14	36	219	0	"Genetic"
"37"	2	37	218	12	"Genetic"
"38"	5	38	218	0	"Genetic"
"39"	8	39	217	0	"Genetic"
"40"	12	40	217	0	"Genetic"
"41"	22	41	217	0	"Genetic"
"42"	11	42	216	0	"Genetic"
"43"	21	43	216	0	"Genetic"
"44"	20	44	215	0	"Genetic"
"45"	18	45	214	0	"Genetic"
"46"	1	46	207	0	"Genetic"
"47"	24	47	207	0	"Genetic"
"48"	23	48	176	0	"Genetic"
"49"	13	49	165	0	"Genetic"
"50"	10	50	164	0	"Genetic"
"51"	29	51	163	2	"Genetic"
"52"	16	52	162	0	"Genetic"
"53"	28	53	162	2	"Genetic"
"54"	30	54	160	0	"Genetic"
"55"	6	55	159	0	"Genetic"
"56"	15	56	159	0	"Genetic"
"57"	4	57	158	0	"Genetic"
"58"	7	58	157	0	"Genetic"
"59"	9	59	157	0	"Genetic"
"60"	25	60	157	0	"Genetic"
"61"	34	61	157	0	"Genetic"
"62"	17	62	154	0	"Genetic"
"63"	26	63	154	0	"Genetic"
"64"	33	64	153	0	"Genetic"
"65"	14	65	151	0	"Genetic"
"66"	12	66	150	0	"Genetic"
"67"	21	67	150	0	"Genetic"
"68"	11	68	149	0	"Genetic"
"69"	40	69	149	0	"Genetic"
"70"	20	70	148	0	"Genetic"
"71"	31	71	148	0	"Genetic"
"72"	32	72	148	0	"Genetic"
"73"	2	73	147	0	"Genetic"
"74"	44	74	147	0	"Genetic"
"75"	45	75	147	0	"Genetic"
"76"	27	76	146	0	"Genetic"
"77"	36	77	146	0	"Genetic"
"78"	43	78	146	0	"Genetic"
"79"	3	79	145	0	"Genetic"
"80"	39	80	145	0	"Genetic"
"81"	41	81	144	0	"Genetic"
"82"	19	82	141	0	"Genetic"
"83"	5	83	140	0	"Genetic"
"84"	46	84	139	0	"Genetic"
"85"	47	85	139	102	"Genetic"
"86"	1	86	137	0	"Genetic"
"87"	24	87	137	0	"Genetic"
"88"	35	88	134	0	"Genetic"
"89"	8	89	127	0	"Genetic"
"90"	18	90	123	0	"Genetic"
"91"	48	91	109	0	"Genetic"
"92"	38	92	103	0	"Genetic"
"93"	56	93	88	0	"Genetic"
"94"	58	94	88	0	"Genetic"
"95"	59	95	88	0	"Genetic"
"96"	4	96	86	0	"Genetic"
"97"	25	97	86	0	"Genetic"
"98"	45	98	80	0	"Genetic"
"99"	57	99	80	0	"Genetic"
"100"	22	100	79	0	"Genetic"
"101"	44	101	79	0	"Genetic"
"102"	73	102	79	0	"Genetic"
"103"	13	103	78	0	"Genetic"
"104"	23	104	77	0	"Genetic"
"105"	26	105	76	0	"Genetic"
"106"	84	106	70	0	"Genetic"
"107"	72	107	69	0	"Genetic"
"108"	102	108	69	0	"Genetic"
"109"	70	109	67	0	"Genetic"
"110"	55	110	66	0	"Genetic"
"111"	8	111	57	0	"Genetic"
"112"	15	112	57	0	"Genetic"
"113"	77	113	57	0	"Genetic"
"114"	7	114	56	0	"Genetic"
"115"	76	115	55	0	"Genetic"
"116"	35	116	52	0	"Genetic"
"117"	84	117	49	12	"Genetic"
"118"	64	118	48	0	"Genetic"
"119"	11	119	47	0	"Genetic"
"120"	49	120	47	0	"Genetic"
"121"	80	121	47	0	"Genetic"
"122"	14	122	46	0	"Genetic"
"123"	41	123	46	0	"Genetic"
"124"	83	124	45	0	"Genetic"
"125"	86	125	45	0	"Genetic"
"126"	20	126	40	0	"Genetic"
"127"	33	127	40	12	"Genetic"
"128"	63	128	39	0	"Genetic"
"129"	5	129	38	0	"Genetic"
"130"	78	130	38	0	"Genetic"
"131"	45	131	37	0	"Genetic"
"132"	71	132	37	0	"Genetic"
"133"	86	133	37	0	"Genetic"
"134"	91	134	37	0	"Genetic"
"135"	43	135	36	0	"Genetic"
"136"	43	136	36	0	"Genetic"
"137"	58	137	36	0	"Genetic"
"138"	66	138	36	0	"Genetic"
"139"	65	139	35	0	"Genetic"
"140"	81	140	35	0	"Genetic"
"141"	3	141	34	0	"Genetic"
"142"	34	142	34	0	"Genetic"
"143"	67	143	34	0	"Genetic"
"144"	87	144	34	0	"Genetic"
"145"	42	145	30	0	"Genetic"
"146"	143	146	30	0	"Genetic"
"147"	2	147	29	0	"Genetic"
"148"	21	148	29	0	"Genetic"
"149"	68	149	29	0	"Genetic"
"150"	6	150	28	22	"Genetic"
"151"	19	151	28	0	"Genetic"
"152"	60	152	28	0	"Genetic"
"153"	130	153	28	0	"Genetic"
"154"	39	154	27	0	"Genetic"
"155"	69	155	27	0	"Genetic"
"156"	118	156	27	0	"Genetic"
"157"	90	157	26	12	"Genetic"
"158"	113	158	26	0	"Genetic"
"159"	147	159	26	0	"Genetic"
"160"	128	160	25	0	"Genetic"
"161"	139	161	24	0	"Genetic"
"162"	22	162	23	0	"Genetic"
"163"	90	163	23	0	"Genetic"
"164"	30	164	22	0	"Genetic"
"165"	60	165	20	0	"Genetic"
"166"	62	166	20	0	"Genetic"
"167"	1	167	17	0	"Genetic"
"168"	12	168	17	0	"Genetic"
"169"	148	169	17	0	"Genetic"
"170"	54	170	16	0	"Genetic"
"171"	52	171	14	0	"Genetic"
"172"	73	172	13	0	"Genetic"
"173"	12	173	12	0	"Genetic"
"174"	24	174	11	0	"Genetic"
"175"	145	175	10	0	"Genetic"
"176"	6	176	9	0	"Genetic"
"177"	9	177	7	0	"Genetic"
"178"	93	178	7	0	"Genetic"
"179"	103	179	7	0	"Genetic"
"180"	16	180	6	0	"Genetic"
"181"	32	181	6	0	"Genetic"
"182"	112	182	6	0	"Genetic"
"183"	57	183	5	0	"Genetic"
"184"	61	184	5	0	"Genetic"
"185"	76	185	5	0	"Genetic"
"186"	73	186	3	0	"Genetic"
"187"	108	187	2	0	"Genetic"
"188"	177	188	1	0	"Genetic"
"189"	41	189	0	0	"Genetic"
"190"	166	190	0	0	"Genetic"
