"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	122	"GENETIC"
"4"	2	4	387	0	"Genetic"
"5"	3	5	386	0	"Genetic"
"6"	1	6	379	0	"Genetic"
"7"	2	7	305	0	"Genetic"
"8"	5	8	301	0	"Genetic"
"9"	1	9	293	0	"Genetic"
"10"	4	10	288	0	"Genetic"
"11"	3	11	280	0	"Genetic"
"12"	6	12	277	0	"Genetic"
"13"	8	13	219	0	"Genetic"
"14"	2	14	214	0	"Genetic"
"15"	5	15	213	52	"Genetic"
"16"	7	16	211	0	"Genetic"
"17"	10	17	210	0	"Genetic"
"18"	1	18	205	0	"Genetic"
"19"	12	19	203	0	"Genetic"
"20"	4	20	202	0	"Genetic"
"21"	3	21	200	102	"Genetic"
"22"	11	22	200	0	"Genetic"
"23"	6	23	199	0	"Genetic"
"24"	9	24	150	0	"Genetic"
"25"	8	25	145	0	"Genetic"
"26"	13	26	144	0	"Genetic"
"27"	10	27	143	0	"Genetic"
"28"	17	28	140	0	"Genetic"
"29"	2	29	139	0	"Genetic"
"30"	14	30	139	0	"Genetic"
"31"	18	31	139	0	"Genetic"
"32"	7	32	137	0	"Genetic"
"33"	19	33	137	0	"Genetic"
"34"	5	34	136	52	"Genetic"
"35"	15	35	135	2	"Genetic"
"36"	1	36	131	0	"Genetic"
"37"	6	37	130	0	"Genetic"
"38"	12	38	130	0	"Genetic"
"39"	20	39	129	0	"Genetic"
"40"	4	40	128	0	"Genetic"
"41"	21	41	128	32	"Genetic"
"42"	11	42	127	42	"Genetic"
"43"	22	43	123	0	"Genetic"
"44"	23	44	120	0	"Genetic"
"45"	16	45	119	0	"Genetic"
"46"	24	46	79	0	"Genetic"
"47"	9	47	78	0	"Genetic"
"48"	10	48	77	0	"Genetic"
"49"	27	49	77	0	"Genetic"
"50"	42	50	76	72	"Genetic"
"51"	13	51	73	0	"Genetic"
"52"	18	52	69	0	"Genetic"
"53"	29	53	69	0	"Genetic"
"54"	7	54	67	0	"Genetic"
"55"	32	55	67	0	"Genetic"
"56"	35	56	67	12	"Genetic"
"57"	26	57	66	0	"Genetic"
"58"	25	58	65	0	"Genetic"
"59"	17	59	64	0	"Genetic"
"60"	2	60	63	0	"Genetic"
"61"	14	61	63	0	"Genetic"
"62"	15	62	63	12	"Genetic"
"63"	19	63	63	0	"Genetic"
"64"	30	64	63	0	"Genetic"
"65"	28	65	62	0	"Genetic"
"66"	31	66	62	0	"Genetic"
"67"	34	67	61	12	"Genetic"
"68"	36	68	60	0	"Genetic"
"69"	1	69	59	0	"Genetic"
"70"	39	70	59	0	"Genetic"
"71"	45	71	59	0	"Genetic"
"72"	22	72	58	0	"Genetic"
"73"	37	73	58	0	"Genetic"
"74"	58	74	58	0	"Genetic"
"75"	42	75	56	52	"Genetic"
"76"	8	76	53	0	"Genetic"
"77"	40	77	53	0	"Genetic"
"78"	44	78	51	0	"Genetic"
"79"	23	79	49	0	"Genetic"
"80"	43	80	49	0	"Genetic"
"81"	45	81	48	0	"Genetic"
"82"	55	82	48	0	"Genetic"
"83"	6	83	47	0	"Genetic"
"84"	12	84	47	0	"Genetic"
"85"	20	85	47	0	"Genetic"
"86"	11	86	46	12	"Genetic"
"87"	26	87	46	0	"Genetic"
"88"	72	88	46	0	"Genetic"
"89"	7	89	44	0	"Genetic"
"90"	13	90	44	0	"Genetic"
"91"	11	91	43	0	"Genetic"
"92"	16	92	42	0	"Genetic"
"93"	20	93	42	0	"Genetic"
"94"	33	94	41	0	"Genetic"
"95"	16	95	37	0	"Genetic"
"96"	4	96	32	0	"Genetic"
"97"	33	97	29	0	"Genetic"
"98"	53	98	28	0	"Genetic"
"99"	70	99	27	0	"Genetic"
"100"	77	100	26	0	"Genetic"
"101"	38	101	24	0	"Genetic"
"102"	60	102	24	0	"Genetic"
"103"	64	103	22	0	"Genetic"
"104"	19	104	21	0	"Genetic"
"105"	43	105	21	0	"Genetic"
"106"	76	106	21	0	"Genetic"
"107"	84	107	21	0	"Genetic"
"108"	61	108	18	0	"Genetic"
"109"	17	109	11	0	"Genetic"
"110"	49	110	10	0	"Genetic"
"111"	24	111	3	0	"Genetic"
"112"	48	112	3	0	"Genetic"
"113"	27	113	2	0	"Genetic"
"114"	10	114	1	0	"Genetic"
"115"	90	115	1	0	"Genetic"
"116"	51	116	0	0	"Genetic"
