"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	432	0	"Genetic"
"5"	2	5	432	0	"Genetic"
"6"	2	6	366	0	"Genetic"
"7"	5	7	363	0	"Genetic"
"8"	1	8	360	0	"Genetic"
"9"	4	9	358	122	"Genetic"
"10"	6	10	298	0	"Genetic"
"11"	7	11	295	122	"Genetic"
"12"	5	12	294	0	"Genetic"
"13"	2	13	292	0	"Genetic"
"14"	1	14	289	0	"Genetic"
"15"	9	15	289	12	"Genetic"
"16"	4	16	288	0	"Genetic"
"17"	8	17	281	0	"Genetic"
"18"	10	18	230	0	"Genetic"
"19"	7	19	227	0	"Genetic"
"20"	11	20	225	92	"Genetic"
"21"	1	21	223	0	"Genetic"
"22"	6	22	223	0	"Genetic"
"23"	12	23	222	42	"Genetic"
"24"	13	24	222	0	"Genetic"
"25"	2	25	219	0	"Genetic"
"26"	14	26	219	0	"Genetic"
"27"	9	27	217	0	"Genetic"
"28"	15	28	217	132	"Genetic"
"29"	4	29	216	52	"Genetic"
"30"	16	30	214	0	"Genetic"
"31"	5	31	213	0	"Genetic"
"32"	8	32	212	0	"Genetic"
"33"	17	33	210	0	"Genetic"
"34"	18	34	162	0	"Genetic"
"35"	19	35	158	0	"Genetic"
"36"	21	36	157	0	"Genetic"
"37"	22	37	157	0	"Genetic"
"38"	10	38	156	0	"Genetic"
"39"	6	39	155	0	"Genetic"
"40"	12	40	155	0	"Genetic"
"41"	7	41	154	0	"Genetic"
"42"	14	42	148	0	"Genetic"
"43"	25	43	145	0	"Genetic"
"44"	16	44	144	0	"Genetic"
"45"	32	45	144	0	"Genetic"
"46"	1	46	143	0	"Genetic"
"47"	11	47	142	82	"Genetic"
"48"	24	48	141	0	"Genetic"
"49"	26	49	141	0	"Genetic"
"50"	27	50	139	52	"Genetic"
"51"	8	51	137	0	"Genetic"
"52"	33	52	136	0	"Genetic"
"53"	29	53	135	102	"Genetic"
"54"	15	54	131	0	"Genetic"
"55"	4	55	130	0	"Genetic"
"56"	17	56	130	0	"Genetic"
"57"	30	57	130	0	"Genetic"
"58"	2	58	128	0	"Genetic"
"59"	31	59	126	0	"Genetic"
"60"	20	60	121	92	"Genetic"
"61"	5	61	97	0	"Genetic"
"62"	23	62	97	0	"Genetic"
"63"	13	63	96	0	"Genetic"
"64"	34	64	94	0	"Genetic"
"65"	18	65	92	0	"Genetic"
"66"	10	66	87	0	"Genetic"
"67"	35	67	87	0	"Genetic"
"68"	37	68	86	0	"Genetic"
"69"	12	69	84	0	"Genetic"
"70"	21	70	84	0	"Genetic"
"71"	38	71	84	0	"Genetic"
"72"	41	72	84	2	"Genetic"
"73"	7	73	80	0	"Genetic"
"74"	19	74	80	0	"Genetic"
"75"	22	75	80	0	"Genetic"
"76"	36	76	80	0	"Genetic"
"77"	45	77	78	0	"Genetic"
"78"	1	78	76	0	"Genetic"
"79"	14	79	76	0	"Genetic"
"80"	46	80	76	0	"Genetic"
"81"	43	81	74	0	"Genetic"
"82"	32	82	72	0	"Genetic"
"83"	44	83	68	0	"Genetic"
"84"	49	84	66	0	"Genetic"
"85"	33	85	65	0	"Genetic"
"86"	8	86	64	0	"Genetic"
"87"	25	87	64	0	"Genetic"
"88"	39	88	64	0	"Genetic"
"89"	51	89	64	0	"Genetic"
"90"	52	90	64	0	"Genetic"
"91"	24	91	63	0	"Genetic"
"92"	17	92	56	0	"Genetic"
"93"	42	93	56	0	"Genetic"
"94"	26	94	55	0	"Genetic"
"95"	31	95	54	0	"Genetic"
"96"	30	96	53	0	"Genetic"
"97"	58	97	53	0	"Genetic"
"98"	59	98	49	0	"Genetic"
"99"	16	99	48	0	"Genetic"
"100"	4	100	47	0	"Genetic"
"101"	48	101	47	0	"Genetic"
"102"	56	102	47	0	"Genetic"
"103"	6	103	45	0	"Genetic"
"104"	2	104	40	0	"Genetic"
"105"	18	105	24	0	"Genetic"
"106"	64	106	24	0	"Genetic"
"107"	34	107	23	0	"Genetic"
"108"	65	108	16	0	"Genetic"
"109"	61	109	15	0	"Genetic"
"110"	71	110	10	0	"Genetic"
"111"	57	111	8	0	"Genetic"
"112"	38	112	7	0	"Genetic"
"113"	10	113	6	0	"Genetic"
"114"	41	114	6	0	"Genetic"
"115"	14	115	3	0	"Genetic"
"116"	45	116	2	0	"Genetic"
"117"	68	117	0	0	"Genetic"
