"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	434	2	"Genetic"
"5"	2	5	430	0	"Genetic"
"6"	4	6	364	12	"Genetic"
"7"	1	7	362	0	"Genetic"
"8"	5	8	352	0	"Genetic"
"9"	2	9	350	0	"Genetic"
"10"	6	10	296	102	"Genetic"
"11"	1	11	292	0	"Genetic"
"12"	4	12	287	12	"Genetic"
"13"	9	13	284	0	"Genetic"
"14"	2	14	282	0	"Genetic"
"15"	7	15	282	0	"Genetic"
"16"	8	16	281	0	"Genetic"
"17"	5	17	274	0	"Genetic"
"18"	6	18	225	0	"Genetic"
"19"	11	19	223	0	"Genetic"
"20"	1	20	219	0	"Genetic"
"21"	10	21	217	0	"Genetic"
"22"	12	22	215	52	"Genetic"
"23"	15	23	210	0	"Genetic"
"24"	7	24	208	0	"Genetic"
"25"	17	25	207	0	"Genetic"
"26"	14	26	206	0	"Genetic"
"27"	16	27	203	0	"Genetic"
"28"	2	28	198	0	"Genetic"
"29"	4	29	197	52	"Genetic"
"30"	9	30	197	0	"Genetic"
"31"	8	31	190	0	"Genetic"
"32"	13	32	190	0	"Genetic"
"33"	5	33	184	0	"Genetic"
"34"	11	34	156	0	"Genetic"
"35"	19	35	155	0	"Genetic"
"36"	18	36	149	0	"Genetic"
"37"	20	37	148	0	"Genetic"
"38"	6	38	146	12	"Genetic"
"39"	1	39	145	0	"Genetic"
"40"	21	40	144	0	"Genetic"
"41"	22	41	143	0	"Genetic"
"42"	10	42	140	0	"Genetic"
"43"	15	43	140	0	"Genetic"
"44"	7	44	137	0	"Genetic"
"45"	12	45	137	92	"Genetic"
"46"	17	46	137	0	"Genetic"
"47"	23	47	137	0	"Genetic"
"48"	25	48	136	0	"Genetic"
"49"	14	49	135	0	"Genetic"
"50"	16	50	135	0	"Genetic"
"51"	26	51	135	0	"Genetic"
"52"	27	52	132	0	"Genetic"
"53"	28	53	127	0	"Genetic"
"54"	9	54	126	0	"Genetic"
"55"	24	55	126	0	"Genetic"
"56"	2	56	124	0	"Genetic"
"57"	30	57	120	0	"Genetic"
"58"	5	58	117	0	"Genetic"
"59"	29	59	116	0	"Genetic"
"60"	31	60	106	0	"Genetic"
"61"	8	61	105	0	"Genetic"
"62"	13	62	99	0	"Genetic"
"63"	11	63	86	0	"Genetic"
"64"	19	64	85	0	"Genetic"
"65"	4	65	77	72	"Genetic"
"66"	20	66	76	0	"Genetic"
"67"	33	67	76	0	"Genetic"
"68"	34	68	76	0	"Genetic"
"69"	21	69	75	0	"Genetic"
"70"	22	70	74	52	"Genetic"
"71"	32	71	74	0	"Genetic"
"72"	36	72	72	0	"Genetic"
"73"	14	73	69	0	"Genetic"
"74"	38	74	68	0	"Genetic"
"75"	39	75	66	0	"Genetic"
"76"	43	76	66	0	"Genetic"
"77"	44	77	66	0	"Genetic"
"78"	50	78	66	0	"Genetic"
"79"	52	79	66	0	"Genetic"
"80"	46	80	65	0	"Genetic"
"81"	15	81	64	0	"Genetic"
"82"	23	82	64	0	"Genetic"
"83"	49	83	62	0	"Genetic"
"84"	17	84	60	0	"Genetic"
"85"	42	85	60	0	"Genetic"
"86"	6	86	57	2	"Genetic"
"87"	7	87	57	0	"Genetic"
"88"	25	88	57	0	"Genetic"
"89"	54	89	57	0	"Genetic"
"90"	1	90	56	0	"Genetic"
"91"	18	91	56	0	"Genetic"
"92"	24	92	56	0	"Genetic"
"93"	47	93	56	0	"Genetic"
"94"	2	94	55	0	"Genetic"
"95"	28	95	55	0	"Genetic"
"96"	51	96	55	0	"Genetic"
"97"	53	97	54	0	"Genetic"
"98"	40	98	50	12	"Genetic"
"99"	27	99	49	0	"Genetic"
"100"	5	100	47	0	"Genetic"
"101"	9	101	47	0	"Genetic"
"102"	26	102	46	0	"Genetic"
"103"	16	103	43	0	"Genetic"
"104"	56	104	43	0	"Genetic"
"105"	30	105	30	0	"Genetic"
"106"	55	106	26	0	"Genetic"
"107"	8	107	24	0	"Genetic"
"108"	13	108	24	0	"Genetic"
"109"	31	109	24	0	"Genetic"
"110"	37	110	24	0	"Genetic"
"111"	35	111	20	0	"Genetic"
"112"	62	112	18	0	"Genetic"
"113"	19	113	14	0	"Genetic"
"114"	59	114	14	0	"Genetic"
"115"	61	115	10	0	"Genetic"
"116"	64	116	10	0	"Genetic"
"117"	32	117	3	0	"Genetic"
"118"	20	118	1	0	"Genetic"
