"Ma","sea_level"
1.49,-9.98248311700557
1.5,0.0115677213070317
1.51,-40.0160179031945
1.52,-80.043603527696
1.53,-70.13923291054
1.54,-60.2348622933841
1.55,-50.3304916762282
1.56,-40.4261210590723
1.57,-30.5217504419164
1.58,-20.6173798247605
1.59,-10.7130092076046
1.6,-0.808638590448688
1.61,-42.0100440847909
1.62,-83.2114495791331
1.63,-72.9541990436569
1.64,-62.6969485081807
1.65,-52.4396979727045
1.66,-42.1824474372283
1.67,-31.925196901752
1.68,-21.6679463662758
1.69,-11.4106958307996
1.7,-1.1534452953234
1.71,-39.6782194695466
1.72,-78.2029936437699
1.73,-68.3106913061216
1.74,-58.4183889684733
1.75,-48.526086630825
1.76,-38.6337842931768
1.77,-28.7414819555285
1.78,-18.8491796178802
1.79,-8.95687728023192
1.8,0.93542505741636
1.81,-33.2972290727472
1.82,-67.5298832029107
1.83,-59.0366573379895
1.84,-50.5434314730684
1.85,-42.0502056081472
1.86,-33.5569797432261
1.87,-25.0637538783049
1.88,-16.5705280133838
1.89,-8.07730214846259
1.9,0.415923716458562
1.91,-37.9437923489571
1.92,-76.3035084143728
1.93,-66.6822427228607
1.94,-57.0609770313485
1.95,-47.4397113398363
1.96,-37.8184456483242
1.97,-28.197179956812
1.98,-18.5759142652999
1.99,-8.95464857378774
2,0.66661711772441
2.01,-35.4995331653705
2.02,-71.6656834484655
2.03,-62.5048187071432
2.04,-53.343953965821
2.05,-44.1830892244987
2.06,-35.0222244831764
2.07,-25.8613597418542
2.08,-16.7004950005319
2.09,-7.53963025920966
2.1,1.62123448211259
2.11,-32.9017712232263
2.12,-67.4247769285653
2.13,-58.9600004251396
2.14,-50.4952239217139
2.15,-42.0304474182881
2.16,-33.5656709148625
2.17,-25.1008944114368
2.18,-16.6361179080111
2.19,-8.17134140458535
2.2,0.293435098840344
2.21,-32.7828518839164
2.22,-65.8591388666731
2.23,-57.6429274609373
2.24,-49.4267160552014
2.25,-41.2105046494655
2.26,-32.9942932437297
2.27,-24.7780818379938
2.28,-16.561870432258
2.29,-8.3456590265221
2.3,-0.129447620786232
2.31,-29.1049507221763
2.32,-58.0804538235663
2.33,-50.8753368405898
2.34,-43.6702198576133
2.35,-36.4651028746368
2.36,-29.2599858916602
2.37,-22.0548689086837
2.38,-14.8497519257072
2.39,-7.64463494273069
2.4,-0.439517959754178
2.41,-29.5580957197097
2.42,-58.6766734796651
2.43,-51.3727599473652
2.44,-44.0688464150652
2.45,-36.7649328827652
2.46,-29.4610193504653
2.47,-22.1571058181653
2.48,-14.8531922858653
2.49,-7.54927875356536
2.5,-0.245365221265394
2.51,-0.117673735020531
2.52,0.0100177512243329
2.53,0.0500246389259672
2.54,0.0900315266276015
2.55,0.130038414329236
2.56,0.17004530203087
2.57,0.210052189732504
2.58,0.250059077434139
2.59,0.290065965135773
2.6,0.330072852837407
2.61,0.475723924289788
2.62,0.621374995742169
2.63,0.767833954392052
2.64,0.914292913041934
2.65,1.06075187169182
2.66,1.2072108303417
2.67,1.35366978899158
2.68,1.50012874764146
2.69,1.64658770629135
2.7,1.79304666494123
2.71,1.30377792255141
2.72,0.8145091801616
2.73,0.58115576745907
2.74,0.34780235475654
2.75,0.114448942054009
2.76,-0.118904470648521
2.77,-0.352257883351051
2.78,-0.585611296053582
2.79,-0.818964708756112
2.8,-1.05231812145864
2.81,0.23226330184245
2.82,1.51684472514354
2.83,1.31727325831008
2.84,1.11770179147662
2.85,0.918130324643159
2.86,0.718558857809698
2.87,0.518987390976237
2.88,0.319415924142776
2.89,0.119844457309315
2.9,-0.0797270095241458
2.91,0.0483929494541658
2.92,0.176512908432477
2.93,0.0482316072025622
2.94,-0.0800496940273531
2.95,-0.208330995257268
