"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	409	0	"Genetic"
"5"	1	5	406	0	"Genetic"
"6"	4	6	312	0	"Genetic"
"7"	2	7	298	162	"Genetic"
"8"	1	8	295	0	"Genetic"
"9"	5	9	293	0	"Genetic"
"10"	6	10	212	0	"Genetic"
"11"	4	11	210	52	"Genetic"
"12"	5	12	200	0	"Genetic"
"13"	1	13	199	0	"Genetic"
"14"	9	14	198	0	"Genetic"
"15"	8	15	196	0	"Genetic"
"16"	2	16	192	0	"Genetic"
"17"	7	17	186	12	"Genetic"
"18"	10	18	132	0	"Genetic"
"19"	6	19	129	0	"Genetic"
"20"	9	20	120	0	"Genetic"
"21"	8	21	119	0	"Genetic"
"22"	16	22	116	0	"Genetic"
"23"	12	23	114	0	"Genetic"
"24"	15	24	114	0	"Genetic"
"25"	1	25	113	0	"Genetic"
"26"	2	26	104	0	"Genetic"
"27"	5	27	103	0	"Genetic"
"28"	13	28	68	0	"Genetic"
"29"	6	29	45	0	"Genetic"
"30"	22	30	33	0	"Genetic"
"31"	15	31	30	0	"Genetic"
"32"	23	32	30	0	"Genetic"
"33"	25	33	26	0	"Genetic"
"34"	21	34	25	0	"Genetic"
"35"	5	35	24	0	"Genetic"
"36"	20	36	24	0	"Genetic"
"37"	8	37	2	0	"Genetic"
"38"	12	38	0	0	"Genetic"
