"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	3	4	425	0	"Genetic"
"5"	2	5	422	0	"Genetic"
"6"	1	6	412	0	"Genetic"
"7"	2	7	353	0	"Genetic"
"8"	4	8	342	0	"Genetic"
"9"	5	9	342	0	"Genetic"
"10"	6	10	337	0	"Genetic"
"11"	1	11	321	0	"Genetic"
"12"	3	12	315	0	"Genetic"
"13"	7	13	283	0	"Genetic"
"14"	2	14	276	0	"Genetic"
"15"	9	15	272	0	"Genetic"
"16"	5	16	261	0	"Genetic"
"17"	8	17	251	0	"Genetic"
"18"	10	18	251	0	"Genetic"
"19"	11	19	251	0	"Genetic"
"20"	3	20	244	0	"Genetic"
"21"	4	21	244	0	"Genetic"
"22"	12	22	239	0	"Genetic"
"23"	6	23	238	0	"Genetic"
"24"	1	24	225	0	"Genetic"
"25"	13	25	216	0	"Genetic"
"26"	14	26	208	0	"Genetic"
"27"	7	27	204	0	"Genetic"
"28"	9	28	191	0	"Genetic"
"29"	16	29	188	0	"Genetic"
"30"	15	30	183	0	"Genetic"
"31"	18	31	181	0	"Genetic"
"32"	8	32	179	0	"Genetic"
"33"	3	33	177	0	"Genetic"
"34"	5	34	176	0	"Genetic"
"35"	10	35	175	0	"Genetic"
"36"	2	36	173	0	"Genetic"
"37"	6	37	169	0	"Genetic"
"38"	23	38	168	0	"Genetic"
"39"	4	39	167	0	"Genetic"
"40"	12	40	166	0	"Genetic"
"41"	17	41	166	0	"Genetic"
"42"	19	42	166	0	"Genetic"
"43"	21	43	166	0	"Genetic"
"44"	11	44	164	0	"Genetic"
"45"	20	45	164	0	"Genetic"
"46"	22	46	162	0	"Genetic"
"47"	24	47	147	0	"Genetic"
"48"	25	48	147	0	"Genetic"
"49"	13	49	146	0	"Genetic"
"50"	26	50	141	0	"Genetic"
"51"	27	51	138	0	"Genetic"
"52"	14	52	137	0	"Genetic"
"53"	1	53	136	0	"Genetic"
"54"	7	54	127	0	"Genetic"
"55"	28	55	119	0	"Genetic"
"56"	9	56	115	0	"Genetic"
"57"	16	57	114	0	"Genetic"
"58"	18	58	114	0	"Genetic"
"59"	31	59	114	0	"Genetic"
"60"	30	60	111	0	"Genetic"
"61"	8	61	110	0	"Genetic"
"62"	34	62	110	0	"Genetic"
"63"	5	63	109	0	"Genetic"
"64"	15	64	107	0	"Genetic"
"65"	29	65	106	0	"Genetic"
"66"	10	66	105	0	"Genetic"
"67"	36	67	105	0	"Genetic"
"68"	2	68	103	0	"Genetic"
"69"	32	69	102	0	"Genetic"
"70"	6	70	101	0	"Genetic"
"71"	3	71	100	0	"Genetic"
"72"	17	72	100	0	"Genetic"
"73"	42	73	100	0	"Genetic"
"74"	21	74	99	0	"Genetic"
"75"	37	75	99	0	"Genetic"
"76"	39	76	99	0	"Genetic"
"77"	4	77	98	0	"Genetic"
"78"	33	78	97	0	"Genetic"
"79"	11	79	96	0	"Genetic"
"80"	20	80	96	0	"Genetic"
"81"	41	81	96	0	"Genetic"
"82"	12	82	95	0	"Genetic"
"83"	40	83	92	0	"Genetic"
"84"	45	84	91	0	"Genetic"
"85"	19	85	90	0	"Genetic"
"86"	43	86	88	0	"Genetic"
"87"	38	87	87	0	"Genetic"
"88"	44	88	86	0	"Genetic"
"89"	47	89	81	0	"Genetic"
"90"	76	90	79	0	"Genetic"
"91"	10	91	78	0	"Genetic"
"92"	23	92	78	0	"Genetic"
"93"	46	93	78	0	"Genetic"
"94"	13	94	77	0	"Genetic"
"95"	22	95	77	0	"Genetic"
"96"	49	96	75	0	"Genetic"
"97"	35	97	74	0	"Genetic"
"98"	50	98	70	0	"Genetic"
"99"	24	99	69	0	"Genetic"
"100"	25	100	69	0	"Genetic"
"101"	48	101	68	0	"Genetic"
"102"	48	102	68	0	"Genetic"
"103"	27	103	67	0	"Genetic"
"104"	67	104	67	0	"Genetic"
"105"	12	105	66	0	"Genetic"
"106"	44	106	66	0	"Genetic"
"107"	18	107	65	0	"Genetic"
"108"	14	108	64	0	"Genetic"
"109"	54	109	61	0	"Genetic"
"110"	26	110	57	0	"Genetic"
"111"	53	111	57	0	"Genetic"
"112"	70	112	55	0	"Genetic"
"113"	26	113	50	0	"Genetic"
"114"	28	114	50	0	"Genetic"
"115"	46	115	50	0	"Genetic"
"116"	42	116	49	0	"Genetic"
"117"	4	117	48	0	"Genetic"
"118"	97	118	47	0	"Genetic"
"119"	43	119	45	0	"Genetic"
"120"	50	120	40	0	"Genetic"
"121"	34	121	39	22	"Genetic"
"122"	84	122	38	0	"Genetic"
"123"	92	123	38	0	"Genetic"
"124"	94	124	38	0	"Genetic"
"125"	21	125	37	0	"Genetic"
"126"	49	126	36	0	"Genetic"
"127"	31	127	29	0	"Genetic"
"128"	64	128	29	0	"Genetic"
"129"	51	129	28	0	"Genetic"
"130"	71	130	28	0	"Genetic"
"131"	82	131	28	0	"Genetic"
"132"	11	132	27	0	"Genetic"
"133"	56	133	27	0	"Genetic"
"134"	63	134	27	0	"Genetic"
"135"	79	135	27	0	"Genetic"
"136"	127	136	27	2	"Genetic"
"137"	87	137	26	0	"Genetic"
"138"	20	138	25	0	"Genetic"
"139"	1	139	24	0	"Genetic"
"140"	36	140	22	0	"Genetic"
"141"	62	141	22	12	"Genetic"
"142"	105	142	22	0	"Genetic"
"143"	132	143	20	0	"Genetic"
"144"	30	144	19	0	"Genetic"
"145"	68	145	19	0	"Genetic"
"146"	116	146	19	0	"Genetic"
"147"	56	147	18	0	"Genetic"
"148"	55	148	17	0	"Genetic"
"149"	99	149	17	0	"Genetic"
"150"	44	150	16	0	"Genetic"
"151"	75	151	16	0	"Genetic"
"152"	69	152	15	0	"Genetic"
"153"	138	153	15	0	"Genetic"
"154"	76	154	12	12	"Genetic"
"155"	140	155	12	0	"Genetic"
"156"	79	156	11	0	"Genetic"
"157"	34	157	10	0	"Genetic"
"158"	85	158	10	0	"Genetic"
"159"	68	159	8	0	"Genetic"
"160"	80	160	8	0	"Genetic"
"161"	82	161	8	0	"Genetic"
"162"	100	162	8	0	"Genetic"
"163"	114	163	8	0	"Genetic"
"164"	88	164	7	0	"Genetic"
"165"	32	165	6	0	"Genetic"
"166"	40	166	5	0	"Genetic"
"167"	47	167	5	0	"Genetic"
"168"	78	168	5	0	"Genetic"
"169"	57	169	4	0	"Genetic"
"170"	117	170	3	0	"Genetic"
"171"	14	171	0	0	"Genetic"
"172"	17	172	0	0	"Genetic"
"173"	35	173	0	0	"Genetic"
