"seed";"dispersal";"divergence_threshold";"competition"
"config_M0_114";20027;0.684210526315789;65;0.926315789473684
"config_M0_115";42779;0.736842105263158;65;0.926315789473684
"config_M0_116";34754;0.789473684210526;65;0.926315789473684
"config_M0_117";89212;0.842105263157895;65;0.926315789473684
"config_M0_118";80173;0.894736842105263;65;0.926315789473684
"config_M0_119";45576;0.947368421052632;65;0.926315789473684
"config_M0_120";15361;1;65;0.926315789473684
"config_M0_121";72418;0;65;0.931578947368421
"config_M0_122";33547;0.0526315789473684;65;0.931578947368421
"config_M0_123";66009;0.105263157894737;65;0.931578947368421
"config_M0_124";42479;0.157894736842105;65;0.931578947368421
"config_M0_125";65799;0.210526315789474;65;0.931578947368421
"config_M0_126";38212;0.263157894736842;65;0.931578947368421
"config_M0_127";93337;0.315789473684211;65;0.931578947368421
"config_M0_128";93040;0.368421052631579;65;0.931578947368421
"config_M0_129";55794;0.421052631578947;65;0.931578947368421
"config_M0_130";97492;0.473684210526316;65;0.931578947368421
"config_M0_131";28037;0.526315789473684;65;0.931578947368421
"config_M0_132";71472;0.578947368421053;65;0.931578947368421
"config_M0_133";31116;0.631578947368421;65;0.931578947368421
"config_M0_134";57337;0.684210526315789;65;0.931578947368421
"config_M0_135";15274;0.736842105263158;65;0.931578947368421
"config_M0_136";58120;0.789473684210526;65;0.931578947368421
"config_M0_137";33920;0.842105263157895;65;0.931578947368421
"config_M0_138";29392;0.894736842105263;65;0.931578947368421
"config_M0_139";41200;0.947368421052632;65;0.931578947368421
"config_M0_140";64915;1;65;0.931578947368421
"config_M0_141";50287;0;65;0.936842105263158
"config_M0_142";52534;0.0526315789473684;65;0.936842105263158
"config_M0_143";2202;0.105263157894737;65;0.936842105263158
"config_M0_144";71351;0.157894736842105;65;0.936842105263158
"config_M0_145";79265;0.210526315789474;65;0.936842105263158
"config_M0_146";68873;0.263157894736842;65;0.936842105263158
"config_M0_147";75168;0.315789473684211;65;0.936842105263158
"config_M0_148";52162;0.368421052631579;65;0.936842105263158
"config_M0_149";70245;0.421052631578947;65;0.936842105263158
"config_M0_150";31804;0.473684210526316;65;0.936842105263158
"config_M0_151";25785;0.526315789473684;65;0.936842105263158
"config_M0_152";55722;0.578947368421053;65;0.936842105263158
"config_M0_153";58480;0.631578947368421;65;0.936842105263158
"config_M0_154";4025;0.684210526315789;65;0.936842105263158
"config_M0_155";32841;0.736842105263158;65;0.936842105263158
"config_M0_156";31520;0.789473684210526;65;0.936842105263158
"config_M0_157";98091;0.842105263157895;65;0.936842105263158
"config_M0_158";43124;0.894736842105263;65;0.936842105263158
"config_M0_159";20905;0.947368421052632;65;0.936842105263158
"config_M0_160";98987;1;65;0.936842105263158
"config_M0_161";42322;0;65;0.942105263157895
"config_M0_162";98147;0.0526315789473684;65;0.942105263157895
"config_M0_163";37849;0.105263157894737;65;0.942105263157895
"config_M0_164";25226;0.157894736842105;65;0.942105263157895
"config_M0_165";35006;0.210526315789474;65;0.942105263157895
"config_M0_166";64224;0.263157894736842;65;0.942105263157895
"config_M0_167";38512;0.315789473684211;65;0.942105263157895
"config_M0_168";77732;0.368421052631579;65;0.942105263157895
"config_M0_169";43456;0.421052631578947;65;0.942105263157895
"config_M0_170";79555;0.473684210526316;65;0.942105263157895
"config_M0_171";67369;0.526315789473684;65;0.942105263157895
"config_M0_172";24410;0.578947368421053;65;0.942105263157895
"config_M0_173";50691;0.631578947368421;65;0.942105263157895
"config_M0_174";28737;0.684210526315789;65;0.942105263157895
"config_M0_175";80371;0.736842105263158;65;0.942105263157895
"config_M0_176";96916;0.789473684210526;65;0.942105263157895
"config_M0_177";6146;0.842105263157895;65;0.942105263157895
"config_M0_178";90555;0.894736842105263;65;0.942105263157895
"config_M0_179";69749;0.947368421052632;65;0.942105263157895
"config_M0_180";46367;1;65;0.942105263157895
"config_M0_181";34834;0;65;0.947368421052632
"config_M0_182";43107;0.0526315789473684;65;0.947368421052632
"config_M0_183";27424;0.105263157894737;65;0.947368421052632
"config_M0_184";11047;0.157894736842105;65;0.947368421052632
"config_M0_185";19108;0.210526315789474;65;0.947368421052632
"config_M0_186";12019;0.263157894736842;65;0.947368421052632
"config_M0_187";3753;0.315789473684211;65;0.947368421052632
"config_M0_188";48778;0.368421052631579;65;0.947368421052632
"config_M0_189";29331;0.421052631578947;65;0.947368421052632
"config_M0_190";23135;0.473684210526316;65;0.947368421052632
"config_M0_191";38088;0.526315789473684;65;0.947368421052632
"config_M0_192";82476;0.578947368421053;65;0.947368421052632
"config_M0_193";58799;0.631578947368421;65;0.947368421052632
"config_M0_194";87689;0.684210526315789;65;0.947368421052632
"config_M0_195";59295;0.736842105263158;65;0.947368421052632
"config_M0_196";48934;0.789473684210526;65;0.947368421052632
"config_M0_197";4041;0.842105263157895;65;0.947368421052632
"config_M0_198";71940;0.894736842105263;65;0.947368421052632
"config_M0_199";32354;0.947368421052632;65;0.947368421052632
"config_M0_200";14179;1;65;0.947368421052632
"config_M0_201";58700;0;65;0.952631578947368
"config_M0_202";11027;0.0526315789473684;65;0.952631578947368
"config_M0_203";64968;0.105263157894737;65;0.952631578947368
"config_M0_204";47181;0.157894736842105;65;0.952631578947368
"config_M0_205";41090;0.210526315789474;65;0.952631578947368
"config_M0_206";17854;0.263157894736842;65;0.952631578947368
"config_M0_207";30963;0.315789473684211;65;0.952631578947368
"config_M0_208";32633;0.368421052631579;65;0.952631578947368
"config_M0_209";23677;0.421052631578947;65;0.952631578947368
"config_M0_210";15958;0.473684210526316;65;0.952631578947368
"config_M0_211";93017;0.526315789473684;65;0.952631578947368
"config_M0_212";24367;0.578947368421053;65;0.952631578947368
"config_M0_213";54560;0.631578947368421;65;0.952631578947368
"config_M0_214";48377;0.684210526315789;65;0.952631578947368
"config_M0_215";3836;0.736842105263158;65;0.952631578947368
"config_M0_216";38933;0.789473684210526;65;0.952631578947368
"config_M0_217";3130;0.842105263157895;65;0.952631578947368
"config_M0_218";99467;0.894736842105263;65;0.952631578947368
"config_M0_219";26706;0.947368421052632;65;0.952631578947368
"config_M0_220";44072;1;65;0.952631578947368
"config_M0_221";61609;0;65;0.957894736842105
"config_M0_222";18616;0.0526315789473684;65;0.957894736842105
"config_M0_223";27647;0.105263157894737;65;0.957894736842105
"config_M0_224";30516;0.157894736842105;65;0.957894736842105
"config_M0_225";6011;0.210526315789474;65;0.957894736842105
"config_M0_226";37075;0.263157894736842;65;0.957894736842105
"config_M0_227";2610;0.315789473684211;65;0.957894736842105
"config_M0_228";12417;0.368421052631579;65;0.957894736842105
"config_M0_229";53024;0.421052631578947;65;0.957894736842105
"config_M0_230";57757;0.473684210526316;65;0.957894736842105
"config_M0_231";37334;0.526315789473684;65;0.957894736842105
"config_M0_232";78636;0.578947368421053;65;0.957894736842105
"config_M0_233";93883;0.631578947368421;65;0.957894736842105
"config_M0_234";83832;0.684210526315789;65;0.957894736842105
"config_M0_235";57560;0.736842105263158;65;0.957894736842105
"config_M0_236";16924;0.789473684210526;65;0.957894736842105
"config_M0_237";72920;0.842105263157895;65;0.957894736842105
"config_M0_238";94499;0.894736842105263;65;0.957894736842105
"config_M0_239";40074;0.947368421052632;65;0.957894736842105
"config_M0_240";60555;1;65;0.957894736842105
"config_M0_241";11475;0;65;0.963157894736842
"config_M0_242";24181;0.0526315789473684;65;0.963157894736842
"config_M0_243";6111;0.105263157894737;65;0.963157894736842
"config_M0_244";50446;0.157894736842105;65;0.963157894736842
"config_M0_245";35569;0.210526315789474;65;0.963157894736842
"config_M0_246";90066;0.263157894736842;65;0.963157894736842
"config_M0_247";88623;0.315789473684211;65;0.963157894736842
"config_M0_248";96521;0.368421052631579;65;0.963157894736842
"config_M0_249";73683;0.421052631578947;65;0.963157894736842
"config_M0_250";41416;0.473684210526316;65;0.963157894736842
"config_M0_251";15561;0.526315789473684;65;0.963157894736842
"config_M0_252";17809;0.578947368421053;65;0.963157894736842
"config_M0_253";50227;0.631578947368421;65;0.963157894736842
"config_M0_254";49375;0.684210526315789;65;0.963157894736842
"config_M0_255";28214;0.736842105263158;65;0.963157894736842
"config_M0_256";44251;0.789473684210526;65;0.963157894736842
"config_M0_257";63494;0.842105263157895;65;0.963157894736842
"config_M0_258";24194;0.894736842105263;65;0.963157894736842
"config_M0_259";49310;0.947368421052632;65;0.963157894736842
"config_M0_260";96321;1;65;0.963157894736842
"config_M0_261";87058;0;65;0.968421052631579
"config_M0_262";93506;0.0526315789473684;65;0.968421052631579
"config_M0_263";16479;0.105263157894737;65;0.968421052631579
"config_M0_264";27686;0.157894736842105;65;0.968421052631579
"config_M0_265";54745;0.210526315789474;65;0.968421052631579
"config_M0_266";47988;0.263157894736842;65;0.968421052631579
"config_M0_267";16816;0.315789473684211;65;0.968421052631579
"config_M0_268";21834;0.368421052631579;65;0.968421052631579
"config_M0_269";71233;0.421052631578947;65;0.968421052631579
"config_M0_270";96925;0.473684210526316;65;0.968421052631579
"config_M0_271";86486;0.526315789473684;65;0.968421052631579
"config_M0_272";41096;0.578947368421053;65;0.968421052631579
"config_M0_273";82574;0.631578947368421;65;0.968421052631579
"config_M0_274";24051;0.684210526315789;65;0.968421052631579
"config_M0_275";91051;0.736842105263158;65;0.968421052631579
"config_M0_276";11763;0.789473684210526;65;0.968421052631579
"config_M0_277";6230;0.842105263157895;65;0.968421052631579
"config_M0_278";22031;0.894736842105263;65;0.968421052631579
"config_M0_279";97535;0.947368421052632;65;0.968421052631579
"config_M0_280";50183;1;65;0.968421052631579
"config_M0_281";34141;0;65;0.973684210526316
"config_M0_282";37417;0.0526315789473684;65;0.973684210526316
"config_M0_283";36705;0.105263157894737;65;0.973684210526316
"config_M0_284";78762;0.157894736842105;65;0.973684210526316
"config_M0_285";55793;0.210526315789474;65;0.973684210526316
"config_M0_286";61401;0.263157894736842;65;0.973684210526316
"config_M0_287";50283;0.315789473684211;65;0.973684210526316
"config_M0_288";28535;0.368421052631579;65;0.973684210526316
"config_M0_289";31705;0.421052631578947;65;0.973684210526316
"config_M0_290";67930;0.473684210526316;65;0.973684210526316
"config_M0_291";41266;0.526315789473684;65;0.973684210526316
"config_M0_292";85487;0.578947368421053;65;0.973684210526316
"config_M0_293";84752;0.631578947368421;65;0.973684210526316
"config_M0_294";35119;0.684210526315789;65;0.973684210526316
"config_M0_295";11444;0.736842105263158;65;0.973684210526316
"config_M0_296";22391;0.789473684210526;65;0.973684210526316
"config_M0_297";54140;0.842105263157895;65;0.973684210526316
"config_M0_298";27687;0.894736842105263;65;0.973684210526316
"config_M0_299";81868;0.947368421052632;65;0.973684210526316
"config_M0_300";92999;1;65;0.973684210526316
"config_M0_301";97763;0;65;0.978947368421053
"config_M0_302";21089;0.0526315789473684;65;0.978947368421053
"config_M0_303";70479;0.105263157894737;65;0.978947368421053
"config_M0_304";82907;0.157894736842105;65;0.978947368421053
"config_M0_305";70118;0.210526315789474;65;0.978947368421053
"config_M0_306";71203;0.263157894736842;65;0.978947368421053
"config_M0_307";30568;0.315789473684211;65;0.978947368421053
"config_M0_308";49719;0.368421052631579;65;0.978947368421053
"config_M0_309";63915;0.421052631578947;65;0.978947368421053
"config_M0_310";75891;0.473684210526316;65;0.978947368421053
"config_M0_311";44107;0.526315789473684;65;0.978947368421053
"config_M0_312";72609;0.578947368421053;65;0.978947368421053
"config_M0_313";39172;0.631578947368421;65;0.978947368421053
"config_M0_314";27801;0.684210526315789;65;0.978947368421053
"config_M0_315";23917;0.736842105263158;65;0.978947368421053
"config_M0_316";91667;0.789473684210526;65;0.978947368421053
"config_M0_317";19571;0.842105263157895;65;0.978947368421053
"config_M0_318";96505;0.894736842105263;65;0.978947368421053
"config_M0_319";42033;0.947368421052632;65;0.978947368421053
"config_M0_320";3467;1;65;0.978947368421053
"config_M0_321";79912;0;65;0.984210526315789
"config_M0_322";81676;0.0526315789473684;65;0.984210526315789
"config_M0_323";25102;0.105263157894737;65;0.984210526315789
"config_M0_324";87915;0.157894736842105;65;0.984210526315789
"config_M0_325";74342;0.210526315789474;65;0.984210526315789
"config_M0_326";49924;0.263157894736842;65;0.984210526315789
"config_M0_327";93033;0.315789473684211;65;0.984210526315789
"config_M0_328";52436;0.368421052631579;65;0.984210526315789
"config_M0_329";5727;0.421052631578947;65;0.984210526315789
"config_M0_330";6883;0.473684210526316;65;0.984210526315789
"config_M0_331";85197;0.526315789473684;65;0.984210526315789
"config_M0_332";83410;0.578947368421053;65;0.984210526315789
"config_M0_333";47586;0.631578947368421;65;0.984210526315789
"config_M0_334";18616;0.684210526315789;65;0.984210526315789
"config_M0_335";30044;0.736842105263158;65;0.984210526315789
"config_M0_336";57803;0.789473684210526;65;0.984210526315789
"config_M0_337";24589;0.842105263157895;65;0.984210526315789
"config_M0_338";84175;0.894736842105263;65;0.984210526315789
"config_M0_339";6758;0.947368421052632;65;0.984210526315789
"config_M0_340";40437;1;65;0.984210526315789
"config_M0_341";14709;0;65;0.989473684210526
"config_M0_342";45525;0.0526315789473684;65;0.989473684210526
"config_M0_343";75369;0.105263157894737;65;0.989473684210526
"config_M0_344";65908;0.157894736842105;65;0.989473684210526
"config_M0_345";52688;0.210526315789474;65;0.989473684210526
"config_M0_346";45497;0.263157894736842;65;0.989473684210526
"config_M0_347";43924;0.315789473684211;65;0.989473684210526
"config_M0_348";41586;0.368421052631579;65;0.989473684210526
"config_M0_349";14680;0.421052631578947;65;0.989473684210526
"config_M0_350";69542;0.473684210526316;65;0.989473684210526
"config_M0_351";44714;0.526315789473684;65;0.989473684210526
"config_M0_352";52117;0.578947368421053;65;0.989473684210526
"config_M0_353";26041;0.631578947368421;65;0.989473684210526
"config_M0_354";86282;0.684210526315789;65;0.989473684210526
"config_M0_355";75253;0.736842105263158;65;0.989473684210526
"config_M0_356";45669;0.789473684210526;65;0.989473684210526
"config_M0_357";44391;0.842105263157895;65;0.989473684210526
"config_M0_358";84424;0.894736842105263;65;0.989473684210526
"config_M0_359";81289;0.947368421052632;65;0.989473684210526
"config_M0_360";49700;1;65;0.989473684210526
"config_M0_361";11742;0;65;0.994736842105263
"config_M0_362";64405;0.0526315789473684;65;0.994736842105263
"config_M0_363";1155;0.105263157894737;65;0.994736842105263
"config_M0_364";73436;0.157894736842105;65;0.994736842105263
"config_M0_365";74323;0.210526315789474;65;0.994736842105263
"config_M0_366";66080;0.263157894736842;65;0.994736842105263
"config_M0_367";73262;0.315789473684211;65;0.994736842105263
"config_M0_368";91863;0.368421052631579;65;0.994736842105263
"config_M0_369";67843;0.421052631578947;65;0.994736842105263
"config_M0_370";42875;0.473684210526316;65;0.994736842105263
"config_M0_371";96610;0.526315789473684;65;0.994736842105263
"config_M0_372";71168;0.578947368421053;65;0.994736842105263
"config_M0_373";23970;0.631578947368421;65;0.994736842105263
"config_M0_374";25025;0.684210526315789;65;0.994736842105263
"config_M0_375";59001;0.736842105263158;65;0.994736842105263
"config_M0_376";8922;0.789473684210526;65;0.994736842105263
"config_M0_377";39059;0.842105263157895;65;0.994736842105263
"config_M0_378";84845;0.894736842105263;65;0.994736842105263
"config_M0_379";63783;0.947368421052632;65;0.994736842105263
"config_M0_380";93720;1;65;0.994736842105263
"config_M0_381";99545;0;65;1
"config_M0_382";45226;0.0526315789473684;65;1
"config_M0_383";42560;0.105263157894737;65;1
"config_M0_384";71997;0.157894736842105;65;1
"config_M0_385";90092;0.210526315789474;65;1
"config_M0_386";22974;0.263157894736842;65;1
"config_M0_387";7084;0.315789473684211;65;1
"config_M0_388";50907;0.368421052631579;65;1
"config_M0_389";40402;0.421052631578947;65;1
"config_M0_390";9849;0.473684210526316;65;1
"config_M0_391";23163;0.526315789473684;65;1
"config_M0_392";75864;0.578947368421053;65;1
"config_M0_393";84962;0.631578947368421;65;1
"config_M0_394";26344;0.684210526315789;65;1
"config_M0_395";31904;0.736842105263158;65;1
"config_M0_396";25850;0.789473684210526;65;1
"config_M0_397";70929;0.842105263157895;65;1
"config_M0_398";45332;0.894736842105263;65;1
"config_M0_399";60960;0.947368421052632;65;1
"config_M0_400";98463;1;65;1
