"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_129";83948;0.571428571428571;65;0.905128205128205
"config_M1_130";50446;0.591836734693878;65;0.905128205128205
"config_M1_131";20868;0.612244897959184;65;0.905128205128205
"config_M1_132";51422;0.63265306122449;65;0.905128205128205
"config_M1_133";47659;0.653061224489796;65;0.905128205128205
"config_M1_134";25838;0.673469387755102;65;0.905128205128205
"config_M1_135";56685;0.693877551020408;65;0.905128205128205
"config_M1_136";68320;0.714285714285714;65;0.905128205128205
"config_M1_137";75929;0.73469387755102;65;0.905128205128205
"config_M1_138";21916;0.755102040816326;65;0.905128205128205
"config_M1_139";85282;0.775510204081633;65;0.905128205128205
"config_M1_140";14302;0.795918367346939;65;0.905128205128205
"config_M1_141";83546;0.816326530612245;65;0.905128205128205
"config_M1_142";66507;0.836734693877551;65;0.905128205128205
"config_M1_143";31277;0.857142857142857;65;0.905128205128205
"config_M1_144";62973;0.877551020408163;65;0.905128205128205
"config_M1_145";30709;0.897959183673469;65;0.905128205128205
"config_M1_146";82912;0.918367346938775;65;0.905128205128205
"config_M1_147";30892;0.938775510204082;65;0.905128205128205
"config_M1_148";76378;0.959183673469388;65;0.905128205128205
"config_M1_149";47645;0.979591836734694;65;0.905128205128205
"config_M1_150";35209;1;65;0.905128205128205
"config_M1_151";53444;0;65;0.907692307692308
"config_M1_152";74172;0.0204081632653061;65;0.907692307692308
"config_M1_153";84838;0.0408163265306122;65;0.907692307692308
"config_M1_154";23160;0.0612244897959184;65;0.907692307692308
"config_M1_155";15402;0.0816326530612245;65;0.907692307692308
"config_M1_156";48213;0.102040816326531;65;0.907692307692308
"config_M1_157";218;0.122448979591837;65;0.907692307692308
"config_M1_158";88376;0.142857142857143;65;0.907692307692308
"config_M1_159";77461;0.163265306122449;65;0.907692307692308
"config_M1_160";81272;0.183673469387755;65;0.907692307692308
"config_M1_161";50290;0.204081632653061;65;0.907692307692308
"config_M1_162";24622;0.224489795918367;65;0.907692307692308
"config_M1_163";19475;0.244897959183673;65;0.907692307692308
"config_M1_164";56674;0.26530612244898;65;0.907692307692308
"config_M1_165";2072;0.285714285714286;65;0.907692307692308
"config_M1_166";92419;0.306122448979592;65;0.907692307692308
"config_M1_167";6450;0.326530612244898;65;0.907692307692308
"config_M1_168";28759;0.346938775510204;65;0.907692307692308
"config_M1_169";94317;0.36734693877551;65;0.907692307692308
"config_M1_170";97131;0.387755102040816;65;0.907692307692308
"config_M1_171";38139;0.408163265306122;65;0.907692307692308
"config_M1_172";69637;0.428571428571429;65;0.907692307692308
"config_M1_173";70709;0.448979591836735;65;0.907692307692308
"config_M1_174";81742;0.469387755102041;65;0.907692307692308
"config_M1_175";34917;0.489795918367347;65;0.907692307692308
"config_M1_176";37994;0.510204081632653;65;0.907692307692308
"config_M1_177";56021;0.530612244897959;65;0.907692307692308
"config_M1_178";13504;0.551020408163265;65;0.907692307692308
"config_M1_179";27403;0.571428571428571;65;0.907692307692308
"config_M1_180";28314;0.591836734693878;65;0.907692307692308
"config_M1_181";17013;0.612244897959184;65;0.907692307692308
"config_M1_182";74107;0.63265306122449;65;0.907692307692308
"config_M1_183";94580;0.653061224489796;65;0.907692307692308
"config_M1_184";56627;0.673469387755102;65;0.907692307692308
"config_M1_185";40912;0.693877551020408;65;0.907692307692308
