"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	12	"GENETIC"
"4"	2	4	424	0	"Genetic"
"5"	1	5	423	0	"Genetic"
"6"	3	6	422	12	"Genetic"
"7"	2	7	348	0	"Genetic"
"8"	4	8	348	0	"Genetic"
"9"	5	9	342	0	"Genetic"
"10"	6	10	337	0	"Genetic"
"11"	1	11	333	0	"Genetic"
"12"	3	12	333	0	"Genetic"
"13"	8	13	276	0	"Genetic"
"14"	4	14	271	0	"Genetic"
"15"	9	15	270	0	"Genetic"
"16"	7	16	269	0	"Genetic"
"17"	2	17	265	0	"Genetic"
"18"	6	18	261	0	"Genetic"
"19"	1	19	257	0	"Genetic"
"20"	5	20	255	0	"Genetic"
"21"	11	21	253	0	"Genetic"
"22"	3	22	252	12	"Genetic"
"23"	10	23	252	0	"Genetic"
"24"	12	24	252	0	"Genetic"
"25"	8	25	206	0	"Genetic"
"26"	14	26	200	0	"Genetic"
"27"	15	27	196	0	"Genetic"
"28"	7	28	192	0	"Genetic"
"29"	16	29	192	0	"Genetic"
"30"	13	30	190	0	"Genetic"
"31"	4	31	182	0	"Genetic"
"32"	9	32	182	0	"Genetic"
"33"	6	33	177	0	"Genetic"
"34"	17	34	176	0	"Genetic"
"35"	18	35	175	0	"Genetic"
"36"	2	36	172	0	"Genetic"
"37"	19	37	172	0	"Genetic"
"38"	22	38	170	0	"Genetic"
"39"	20	39	169	0	"Genetic"
"40"	5	40	168	0	"Genetic"
"41"	24	41	166	0	"Genetic"
"42"	21	42	165	0	"Genetic"
"43"	3	43	163	0	"Genetic"
"44"	12	44	161	0	"Genetic"
"45"	10	45	157	0	"Genetic"
"46"	11	46	155	0	"Genetic"
"47"	1	47	152	0	"Genetic"
"48"	23	48	150	0	"Genetic"
"49"	8	49	119	0	"Genetic"
"50"	26	50	118	0	"Genetic"
"51"	7	51	116	0	"Genetic"
"52"	15	52	116	0	"Genetic"
"53"	27	53	114	0	"Genetic"
"54"	30	54	113	0	"Genetic"
"55"	28	55	112	0	"Genetic"
"56"	29	56	112	0	"Genetic"
"57"	16	57	111	0	"Genetic"
"58"	25	58	110	0	"Genetic"
"59"	31	59	110	0	"Genetic"
"60"	13	60	107	0	"Genetic"
"61"	14	61	106	0	"Genetic"
"62"	18	62	105	0	"Genetic"
"63"	35	63	105	0	"Genetic"
"64"	9	64	104	0	"Genetic"
"65"	33	65	101	0	"Genetic"
"66"	4	66	99	0	"Genetic"
"67"	32	67	98	0	"Genetic"
"68"	22	68	97	52	"Genetic"
"69"	17	69	96	0	"Genetic"
"70"	36	70	96	0	"Genetic"
"71"	37	71	96	0	"Genetic"
"72"	6	72	95	0	"Genetic"
"73"	20	73	93	0	"Genetic"
"74"	43	74	93	0	"Genetic"
"75"	34	75	92	0	"Genetic"
"76"	41	76	92	0	"Genetic"
"77"	21	77	91	0	"Genetic"
"78"	39	78	91	0	"Genetic"
"79"	42	79	89	0	"Genetic"
"80"	2	80	88	0	"Genetic"
"81"	5	81	88	0	"Genetic"
"82"	38	82	88	0	"Genetic"
"83"	40	83	88	0	"Genetic"
"84"	44	84	87	0	"Genetic"
"85"	6	85	82	12	"Genetic"
"86"	47	86	82	0	"Genetic"
"87"	41	87	81	0	"Genetic"
"88"	45	88	81	0	"Genetic"
"89"	1	89	80	0	"Genetic"
"90"	23	90	80	0	"Genetic"
"91"	48	91	80	0	"Genetic"
"92"	11	92	79	0	"Genetic"
"93"	12	93	79	0	"Genetic"
"94"	9	94	78	0	"Genetic"
"95"	68	95	78	52	"Genetic"
"96"	10	96	77	0	"Genetic"
"97"	63	97	77	12	"Genetic"
"98"	93	98	77	0	"Genetic"
"99"	3	99	76	0	"Genetic"
"100"	19	100	76	0	"Genetic"
"101"	88	101	76	0	"Genetic"
"102"	15	102	74	0	"Genetic"
"103"	91	103	74	0	"Genetic"
"104"	46	104	73	0	"Genetic"
"105"	32	105	72	0	"Genetic"
"106"	44	106	72	0	"Genetic"
"107"	96	107	71	52	"Genetic"
"108"	100	108	71	0	"Genetic"
"109"	62	109	61	0	"Genetic"
"110"	65	110	59	12	"Genetic"
"111"	8	111	51	0	"Genetic"
"112"	24	112	50	0	"Genetic"
"113"	24	113	50	0	"Genetic"
"114"	23	114	49	0	"Genetic"
"115"	51	115	48	0	"Genetic"
"116"	53	116	48	0	"Genetic"
"117"	50	117	46	0	"Genetic"
"118"	50	118	46	0	"Genetic"
"119"	53	119	46	0	"Genetic"
"120"	26	120	45	0	"Genetic"
"121"	102	121	45	0	"Genetic"
"122"	29	122	44	0	"Genetic"
"123"	38	123	43	0	"Genetic"
"124"	54	124	43	0	"Genetic"
"125"	52	125	42	0	"Genetic"
"126"	49	126	41	0	"Genetic"
"127"	55	127	40	0	"Genetic"
"128"	59	128	40	0	"Genetic"
"129"	125	129	40	0	"Genetic"
"130"	56	130	39	0	"Genetic"
"131"	62	131	39	12	"Genetic"
"132"	28	132	38	0	"Genetic"
"133"	7	133	37	0	"Genetic"
"134"	27	134	36	0	"Genetic"
"135"	58	135	36	0	"Genetic"
"136"	61	136	36	0	"Genetic"
"137"	20	137	35	0	"Genetic"
"138"	25	138	35	0	"Genetic"
"139"	43	139	35	0	"Genetic"
"140"	78	140	35	0	"Genetic"
"141"	14	141	34	0	"Genetic"
"142"	13	142	33	0	"Genetic"
"143"	35	143	33	0	"Genetic"
"144"	120	144	33	0	"Genetic"
"145"	16	145	31	0	"Genetic"
"146"	94	146	31	0	"Genetic"
"147"	143	147	31	0	"Genetic"
"148"	55	148	30	0	"Genetic"
"149"	81	149	30	0	"Genetic"
"150"	64	150	29	0	"Genetic"
"151"	72	151	29	0	"Genetic"
"152"	111	152	29	0	"Genetic"
"153"	30	153	28	0	"Genetic"
"154"	60	154	28	0	"Genetic"
"155"	79	155	28	0	"Genetic"
"156"	47	156	27	0	"Genetic"
"157"	1	157	26	0	"Genetic"
"158"	57	158	26	0	"Genetic"
"159"	28	159	24	0	"Genetic"
"160"	63	160	24	0	"Genetic"
"161"	67	161	24	0	"Genetic"
"162"	69	162	24	0	"Genetic"
"163"	134	163	24	0	"Genetic"
"164"	135	164	24	0	"Genetic"
"165"	17	165	23	0	"Genetic"
"166"	151	166	23	12	"Genetic"
"167"	22	167	22	12	"Genetic"
"168"	33	168	22	0	"Genetic"
"169"	37	169	22	0	"Genetic"
"170"	46	170	22	0	"Genetic"
"171"	85	171	21	2	"Genetic"
"172"	21	172	20	0	"Genetic"
"173"	36	173	20	0	"Genetic"
"174"	73	174	20	0	"Genetic"
"175"	74	175	19	0	"Genetic"
"176"	105	176	19	0	"Genetic"
"177"	161	177	19	0	"Genetic"
"178"	2	178	18	0	"Genetic"
"179"	70	179	18	0	"Genetic"
"180"	75	180	18	0	"Genetic"
"181"	78	181	18	0	"Genetic"
"182"	81	182	18	0	"Genetic"
"183"	82	183	18	0	"Genetic"
"184"	84	184	18	0	"Genetic"
"185"	39	185	17	0	"Genetic"
"186"	3	186	16	12	"Genetic"
"187"	4	187	16	0	"Genetic"
"188"	5	188	16	0	"Genetic"
"189"	34	189	16	0	"Genetic"
"190"	42	190	16	0	"Genetic"
"191"	71	191	16	0	"Genetic"
"192"	73	192	16	0	"Genetic"
"193"	77	193	16	0	"Genetic"
"194"	168	194	16	0	"Genetic"
"195"	169	195	16	0	"Genetic"
"196"	76	196	15	0	"Genetic"
"197"	138	197	15	0	"Genetic"
"198"	83	198	14	0	"Genetic"
"199"	2	199	12	0	"Genetic"
"200"	139	200	11	0	"Genetic"
"201"	49	201	10	0	"Genetic"
"202"	80	202	10	0	"Genetic"
"203"	63	203	9	0	"Genetic"
"204"	83	204	9	0	"Genetic"
"205"	9	205	8	0	"Genetic"
"206"	10	206	8	0	"Genetic"
"207"	12	207	8	0	"Genetic"
"208"	145	208	8	0	"Genetic"
"209"	94	209	7	0	"Genetic"
"210"	190	210	7	0	"Genetic"
"211"	9	211	6	0	"Genetic"
"212"	14	212	6	0	"Genetic"
"213"	40	213	6	0	"Genetic"
"214"	89	214	6	0	"Genetic"
"215"	90	215	6	0	"Genetic"
"216"	90	216	6	0	"Genetic"
"217"	91	217	6	0	"Genetic"
"218"	99	218	6	0	"Genetic"
"219"	103	219	6	0	"Genetic"
"220"	30	220	5	0	"Genetic"
"221"	45	221	5	0	"Genetic"
"222"	48	222	5	0	"Genetic"
"223"	48	223	5	0	"Genetic"
"224"	122	224	5	0	"Genetic"
"225"	136	225	5	0	"Genetic"
"226"	15	226	4	0	"Genetic"
"227"	102	227	4	0	"Genetic"
"228"	19	228	3	0	"Genetic"
"229"	21	229	3	0	"Genetic"
"230"	89	230	3	0	"Genetic"
"231"	98	231	3	0	"Genetic"
"232"	100	232	3	0	"Genetic"
"233"	170	233	3	0	"Genetic"
"234"	184	234	3	0	"Genetic"
"235"	86	235	2	0	"Genetic"
"236"	156	236	2	0	"Genetic"
"237"	188	237	2	0	"Genetic"
"238"	231	238	2	0	"Genetic"
"239"	88	239	1	0	"Genetic"
"240"	66	240	0	0	"Genetic"
"241"	80	241	0	0	"Genetic"
"242"	114	242	0	0	"Genetic"
"243"	137	243	0	0	"Genetic"
"244"	207	244	0	0	"Genetic"
