"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	405	0	"Genetic"
"5"	3	5	405	0	"Genetic"
"6"	1	6	398	0	"Genetic"
"7"	5	7	316	0	"Genetic"
"8"	2	8	311	0	"Genetic"
"9"	1	9	309	0	"Genetic"
"10"	6	10	296	0	"Genetic"
"11"	4	11	293	0	"Genetic"
"12"	3	12	282	0	"Genetic"
"13"	2	13	219	12	"Genetic"
"14"	5	14	219	0	"Genetic"
"15"	1	15	217	0	"Genetic"
"16"	9	16	216	0	"Genetic"
"17"	7	17	215	0	"Genetic"
"18"	8	18	198	22	"Genetic"
"19"	10	19	196	0	"Genetic"
"20"	6	20	178	0	"Genetic"
"21"	4	21	163	0	"Genetic"
"22"	12	22	146	0	"Genetic"
"23"	11	23	144	0	"Genetic"
"24"	3	24	140	0	"Genetic"
"25"	2	25	127	12	"Genetic"
"26"	13	26	119	0	"Genetic"
"27"	5	27	117	0	"Genetic"
"28"	14	28	115	0	"Genetic"
"29"	16	29	115	0	"Genetic"
"30"	17	30	112	0	"Genetic"
"31"	15	31	111	0	"Genetic"
"32"	10	32	110	0	"Genetic"
"33"	1	33	109	0	"Genetic"
"34"	7	34	96	0	"Genetic"
"35"	19	35	96	0	"Genetic"
"36"	8	36	92	0	"Genetic"
"37"	4	37	83	0	"Genetic"
"38"	21	38	83	0	"Genetic"
"39"	6	39	79	0	"Genetic"
"40"	6	40	79	0	"Genetic"
"41"	12	41	76	0	"Genetic"
"42"	23	42	75	0	"Genetic"
"43"	19	43	74	0	"Genetic"
"44"	9	44	73	0	"Genetic"
"45"	11	45	62	0	"Genetic"
"46"	25	46	61	0	"Genetic"
"47"	24	47	60	0	"Genetic"
"48"	22	48	59	0	"Genetic"
"49"	2	49	57	0	"Genetic"
"50"	3	50	56	0	"Genetic"
"51"	18	51	56	12	"Genetic"
"52"	23	52	55	0	"Genetic"
"53"	30	53	51	0	"Genetic"
"54"	5	54	49	0	"Genetic"
"55"	13	55	44	12	"Genetic"
"56"	51	56	44	12	"Genetic"
"57"	16	57	41	0	"Genetic"
"58"	24	58	41	0	"Genetic"
"59"	55	59	41	0	"Genetic"
"60"	54	60	40	0	"Genetic"
"61"	26	61	39	0	"Genetic"
"62"	3	62	37	0	"Genetic"
"63"	28	63	37	0	"Genetic"
"64"	17	64	36	0	"Genetic"
"65"	29	65	35	0	"Genetic"
"66"	61	66	35	0	"Genetic"
"67"	44	67	32	0	"Genetic"
"68"	12	68	30	0	"Genetic"
"69"	27	69	30	0	"Genetic"
"70"	33	70	30	0	"Genetic"
"71"	64	71	30	0	"Genetic"
"72"	10	72	29	0	"Genetic"
"73"	32	73	29	0	"Genetic"
"74"	20	74	27	0	"Genetic"
"75"	1	75	25	0	"Genetic"
"76"	31	76	25	0	"Genetic"
"77"	14	77	24	0	"Genetic"
"78"	8	78	23	0	"Genetic"
"79"	7	79	21	0	"Genetic"
"80"	36	80	20	0	"Genetic"
"81"	45	81	19	0	"Genetic"
"82"	63	82	17	0	"Genetic"
"83"	43	83	16	0	"Genetic"
"84"	79	84	16	0	"Genetic"
"85"	80	85	15	0	"Genetic"
"86"	34	86	14	0	"Genetic"
"87"	4	87	9	0	"Genetic"
"88"	33	88	8	0	"Genetic"
"89"	1	89	7	0	"Genetic"
"90"	37	90	7	0	"Genetic"
"91"	35	91	3	0	"Genetic"
"92"	14	92	0	0	"Genetic"
"93"	49	93	0	0	"Genetic"
