"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	3	4	400	0	"Genetic"
"5"	1	5	376	0	"Genetic"
"6"	2	6	356	0	"Genetic"
"7"	3	7	281	0	"Genetic"
"8"	1	8	273	0	"Genetic"
"9"	2	9	267	0	"Genetic"
"10"	4	10	267	0	"Genetic"
"11"	5	11	255	0	"Genetic"
"12"	6	12	252	0	"Genetic"
"13"	1	13	140	0	"Genetic"
"14"	7	14	126	0	"Genetic"
"15"	8	15	123	0	"Genetic"
