"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	424	92	"Genetic"
"5"	1	5	420	0	"Genetic"
"6"	1	6	349	0	"Genetic"
"7"	2	7	349	0	"Genetic"
"8"	4	8	344	0	"Genetic"
"9"	5	9	343	0	"Genetic"
"10"	6	10	281	0	"Genetic"
"11"	2	11	279	0	"Genetic"
"12"	7	12	279	0	"Genetic"
"13"	1	13	275	0	"Genetic"
"14"	9	14	271	0	"Genetic"
"15"	8	15	270	0	"Genetic"
"16"	4	16	267	0	"Genetic"
"17"	5	17	261	0	"Genetic"
"18"	7	18	179	0	"Genetic"
"19"	10	19	177	0	"Genetic"
"20"	6	20	176	0	"Genetic"
"21"	1	21	169	0	"Genetic"
"22"	15	22	168	0	"Genetic"
"23"	13	23	161	0	"Genetic"
"24"	2	24	159	0	"Genetic"
"25"	14	25	159	0	"Genetic"
"26"	8	26	157	0	"Genetic"
"27"	11	27	157	0	"Genetic"
"28"	16	28	157	0	"Genetic"
"29"	4	29	156	12	"Genetic"
"30"	17	30	155	0	"Genetic"
"31"	5	31	153	0	"Genetic"
"32"	12	32	152	12	"Genetic"
"33"	9	33	150	0	"Genetic"
"34"	18	34	99	0	"Genetic"
"35"	7	35	98	0	"Genetic"
"36"	20	36	95	0	"Genetic"
"37"	6	37	94	0	"Genetic"
"38"	10	38	93	0	"Genetic"
"39"	19	39	91	0	"Genetic"
"40"	22	40	89	0	"Genetic"
"41"	28	41	88	0	"Genetic"
"42"	13	42	87	0	"Genetic"
"43"	15	43	86	0	"Genetic"
"44"	1	44	85	0	"Genetic"
"45"	5	45	85	0	"Genetic"
"46"	8	46	85	0	"Genetic"
"47"	21	47	85	0	"Genetic"
"48"	14	48	84	0	"Genetic"
"49"	31	49	80	0	"Genetic"
"50"	16	50	79	0	"Genetic"
"51"	24	51	78	0	"Genetic"
"52"	25	52	78	0	"Genetic"
"53"	26	53	78	0	"Genetic"
"54"	23	54	77	0	"Genetic"
"55"	17	55	74	0	"Genetic"
"56"	33	56	72	0	"Genetic"
"57"	2	57	71	0	"Genetic"
"58"	30	58	70	0	"Genetic"
"59"	9	59	63	0	"Genetic"
"60"	11	60	59	0	"Genetic"
"61"	32	61	41	0	"Genetic"
"62"	27	62	37	0	"Genetic"
"63"	29	63	36	0	"Genetic"
"64"	36	64	15	0	"Genetic"
"65"	6	65	9	0	"Genetic"
"66"	38	66	8	0	"Genetic"
"67"	5	67	7	0	"Genetic"
"68"	21	68	6	0	"Genetic"
"69"	44	69	6	0	"Genetic"
"70"	47	70	6	0	"Genetic"
"71"	1	71	4	0	"Genetic"
"72"	42	72	2	0	"Genetic"
"73"	13	73	0	0	"Genetic"
