"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	168	0	"Genetic"
"5"	3	5	138	0	"Genetic"
"6"	4	6	87	0	"Genetic"
"7"	2	7	65	0	"Genetic"
"8"	4	8	48	0	"Genetic"
"9"	7	9	47	0	"Genetic"
"10"	3	10	37	0	"Genetic"
"11"	10	11	19	0	"Genetic"
"12"	8	12	15	0	"Genetic"
"13"	6	13	6	0	"Genetic"
"14"	6	14	6	0	"Genetic"
"15"	5	15	5	0	"Genetic"
