"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	12	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	429	0	"Genetic"
"5"	1	5	425	0	"Genetic"
"6"	4	6	362	0	"Genetic"
"7"	2	7	354	0	"Genetic"
"8"	5	8	354	0	"Genetic"
"9"	1	9	346	0	"Genetic"
"10"	4	10	293	0	"Genetic"
"11"	6	11	290	0	"Genetic"
"12"	2	12	285	0	"Genetic"
"13"	5	13	274	0	"Genetic"
"14"	7	14	274	0	"Genetic"
"15"	9	15	273	0	"Genetic"
"16"	1	16	272	0	"Genetic"
"17"	8	17	272	0	"Genetic"
"18"	10	18	220	0	"Genetic"
"19"	11	19	217	12	"Genetic"
"20"	2	20	214	92	"Genetic"
"21"	12	21	203	0	"Genetic"
"22"	15	22	201	0	"Genetic"
"23"	6	23	198	0	"Genetic"
"24"	4	24	197	0	"Genetic"
"25"	14	25	194	0	"Genetic"
"26"	5	26	187	0	"Genetic"
"27"	8	27	186	0	"Genetic"
"28"	9	28	186	0	"Genetic"
"29"	13	29	186	0	"Genetic"
"30"	16	30	185	0	"Genetic"
"31"	1	31	183	0	"Genetic"
"32"	7	32	170	0	"Genetic"
"33"	17	33	170	0	"Genetic"
"34"	10	34	137	0	"Genetic"
"35"	11	35	137	0	"Genetic"
"36"	12	36	132	0	"Genetic"
"37"	15	37	129	0	"Genetic"
"38"	18	38	129	0	"Genetic"
"39"	23	39	127	0	"Genetic"
"40"	2	40	126	0	"Genetic"
"41"	4	41	126	0	"Genetic"
"42"	24	42	126	0	"Genetic"
"43"	25	43	126	0	"Genetic"
"44"	6	44	120	0	"Genetic"
"45"	13	45	120	0	"Genetic"
"46"	14	46	120	0	"Genetic"
"47"	20	47	120	12	"Genetic"
"48"	21	48	118	0	"Genetic"
"49"	29	49	118	0	"Genetic"
"50"	19	50	117	0	"Genetic"
"51"	22	51	117	0	"Genetic"
"52"	16	52	116	0	"Genetic"
"53"	26	53	116	0	"Genetic"
"54"	1	54	115	0	"Genetic"
"55"	5	55	115	0	"Genetic"
"56"	28	56	114	0	"Genetic"
"57"	30	57	112	0	"Genetic"
"58"	31	58	112	0	"Genetic"
"59"	9	59	110	0	"Genetic"
"60"	8	60	103	0	"Genetic"
"61"	27	61	98	0	"Genetic"
"62"	17	62	97	0	"Genetic"
"63"	32	63	96	0	"Genetic"
"64"	7	64	95	0	"Genetic"
"65"	33	65	93	0	"Genetic"
"66"	34	66	67	0	"Genetic"
"67"	11	67	66	0	"Genetic"
"68"	35	68	66	0	"Genetic"
"69"	12	69	60	0	"Genetic"
"70"	25	70	57	0	"Genetic"
"71"	39	71	57	0	"Genetic"
"72"	24	72	55	0	"Genetic"
"73"	43	73	55	0	"Genetic"
"74"	42	74	54	0	"Genetic"
"75"	23	75	53	0	"Genetic"
"76"	15	76	51	0	"Genetic"
"77"	6	77	49	0	"Genetic"
"78"	38	78	49	0	"Genetic"
"79"	49	79	48	0	"Genetic"
"80"	46	80	47	0	"Genetic"
"81"	52	81	47	0	"Genetic"
"82"	55	82	47	0	"Genetic"
"83"	28	83	46	0	"Genetic"
"84"	37	84	46	0	"Genetic"
"85"	44	85	46	0	"Genetic"
"86"	56	86	46	0	"Genetic"
"87"	13	87	45	0	"Genetic"
"88"	29	88	45	0	"Genetic"
"89"	54	89	45	0	"Genetic"
"90"	14	90	44	0	"Genetic"
"91"	58	91	44	0	"Genetic"
"92"	16	92	43	0	"Genetic"
"93"	30	93	42	0	"Genetic"
"94"	57	94	35	0	"Genetic"
"95"	22	95	33	0	"Genetic"
"96"	45	96	33	0	"Genetic"
"97"	26	97	32	0	"Genetic"
"98"	51	98	30	0	"Genetic"
"99"	31	99	27	0	"Genetic"
"100"	60	100	24	0	"Genetic"
"101"	8	101	19	0	"Genetic"
"102"	32	102	19	0	"Genetic"
"103"	9	103	18	0	"Genetic"
"104"	21	104	18	0	"Genetic"
"105"	63	105	18	0	"Genetic"
"106"	62	106	17	0	"Genetic"
"107"	65	107	17	0	"Genetic"
"108"	7	108	15	0	"Genetic"
"109"	17	109	15	0	"Genetic"
"110"	64	110	14	0	"Genetic"
"111"	53	111	10	0	"Genetic"
"112"	59	112	8	0	"Genetic"
"113"	4	113	5	0	"Genetic"
