"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	377	0	"Genetic"
"5"	2	5	374	0	"Genetic"
"6"	4	6	260	0	"Genetic"
"7"	5	7	251	0	"Genetic"
"8"	1	8	248	0	"Genetic"
"9"	2	9	217	0	"Genetic"
"10"	5	10	175	0	"Genetic"
"11"	8	11	175	0	"Genetic"
"12"	7	12	174	0	"Genetic"
"13"	1	13	169	0	"Genetic"
"14"	4	14	168	0	"Genetic"
"15"	6	15	168	0	"Genetic"
"16"	2	16	139	0	"Genetic"
"17"	9	17	138	0	"Genetic"
"18"	5	18	90	0	"Genetic"
"19"	8	19	90	0	"Genetic"
"20"	13	20	90	0	"Genetic"
"21"	11	21	88	0	"Genetic"
"22"	7	22	86	0	"Genetic"
"23"	4	23	84	0	"Genetic"
"24"	1	24	80	0	"Genetic"
"25"	6	25	80	0	"Genetic"
"26"	12	26	80	0	"Genetic"
"27"	10	27	74	0	"Genetic"
"28"	15	28	74	0	"Genetic"
"29"	14	29	70	0	"Genetic"
"30"	17	30	48	0	"Genetic"
"31"	2	31	47	0	"Genetic"
"32"	9	32	47	0	"Genetic"
"33"	16	33	46	0	"Genetic"
