"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	52	"GENETIC"
"4"	2	4	412	0	"Genetic"
"5"	3	5	401	0	"Genetic"
"6"	1	6	385	0	"Genetic"
"7"	2	7	326	0	"Genetic"
"8"	3	8	321	52	"Genetic"
"9"	5	9	317	0	"Genetic"
"10"	4	10	316	0	"Genetic"
"11"	1	11	287	0	"Genetic"
"12"	6	12	286	0	"Genetic"
"13"	3	13	245	0	"Genetic"
"14"	7	14	240	0	"Genetic"
"15"	2	15	238	0	"Genetic"
"16"	8	16	237	22	"Genetic"
"17"	5	17	233	0	"Genetic"
"18"	9	18	232	0	"Genetic"
"19"	10	19	225	0	"Genetic"
"20"	4	20	224	0	"Genetic"
"21"	6	21	206	0	"Genetic"
"22"	12	22	206	0	"Genetic"
"23"	1	23	204	0	"Genetic"
"24"	11	24	196	0	"Genetic"
"25"	13	25	177	12	"Genetic"
"26"	3	26	174	0	"Genetic"
"27"	14	27	174	0	"Genetic"
"28"	7	28	170	0	"Genetic"
"29"	2	29	168	0	"Genetic"
"30"	17	30	167	0	"Genetic"
"31"	15	31	166	0	"Genetic"
"32"	5	32	165	0	"Genetic"
"33"	18	33	164	0	"Genetic"
"34"	8	34	163	12	"Genetic"
"35"	9	35	163	0	"Genetic"
"36"	16	36	163	72	"Genetic"
"37"	4	37	157	0	"Genetic"
"38"	10	38	156	0	"Genetic"
"39"	20	39	156	0	"Genetic"
"40"	21	40	140	0	"Genetic"
"41"	23	41	138	0	"Genetic"
"42"	1	42	136	0	"Genetic"
"43"	22	43	135	0	"Genetic"
"44"	12	44	132	0	"Genetic"
"45"	6	45	126	0	"Genetic"
"46"	11	46	123	0	"Genetic"
"47"	24	47	116	0	"Genetic"
"48"	25	48	111	52	"Genetic"
"49"	14	49	106	0	"Genetic"
"50"	19	50	105	0	"Genetic"
"51"	13	51	103	92	"Genetic"
"52"	7	52	102	0	"Genetic"
"53"	29	53	101	0	"Genetic"
"54"	27	54	99	0	"Genetic"
"55"	28	55	99	0	"Genetic"
"56"	5	56	97	0	"Genetic"
"57"	3	57	96	12	"Genetic"
"58"	15	58	96	0	"Genetic"
"59"	18	59	96	0	"Genetic"
"60"	30	60	95	0	"Genetic"
"61"	34	61	92	0	"Genetic"
"62"	10	62	90	0	"Genetic"
"63"	17	63	90	0	"Genetic"
"64"	26	64	90	0	"Genetic"
"65"	8	65	88	52	"Genetic"
"66"	4	66	87	0	"Genetic"
"67"	20	67	87	0	"Genetic"
"68"	31	68	87	0	"Genetic"
"69"	39	69	87	0	"Genetic"
"70"	2	70	85	0	"Genetic"
"71"	33	71	85	0	"Genetic"
"72"	9	72	81	0	"Genetic"
"73"	37	73	81	0	"Genetic"
"74"	9	74	77	0	"Genetic"
"75"	36	75	72	72	"Genetic"
"76"	23	76	70	0	"Genetic"
"77"	61	77	68	12	"Genetic"
"78"	40	78	67	0	"Genetic"
"79"	63	79	67	32	"Genetic"
"80"	43	80	66	0	"Genetic"
"81"	44	81	66	0	"Genetic"
"82"	1	82	64	0	"Genetic"
"83"	21	83	64	0	"Genetic"
"84"	41	84	64	0	"Genetic"
"85"	12	85	63	0	"Genetic"
"86"	22	86	61	0	"Genetic"
"87"	35	87	58	51	"Genetic"
"88"	45	88	58	0	"Genetic"
"89"	46	89	57	0	"Genetic"
"90"	3	90	56	12	"Genetic"
"91"	11	91	55	0	"Genetic"
"92"	5	92	54	0	"Genetic"
"93"	42	93	54	0	"Genetic"
"94"	64	94	53	0	"Genetic"
"95"	6	95	51	0	"Genetic"
"96"	71	96	51	0	"Genetic"
"97"	35	97	50	0	"Genetic"
"98"	66	98	48	0	"Genetic"
"99"	62	99	46	0	"Genetic"
"100"	24	100	45	0	"Genetic"
"101"	47	101	43	0	"Genetic"
"102"	38	102	42	0	"Genetic"
"103"	30	103	40	0	"Genetic"
"104"	14	104	38	0	"Genetic"
"105"	73	105	37	0	"Genetic"
"106"	50	106	35	0	"Genetic"
"107"	52	107	34	0	"Genetic"
"108"	88	108	32	0	"Genetic"
"109"	21	109	31	0	"Genetic"
"110"	49	110	31	0	"Genetic"
"111"	19	111	30	0	"Genetic"
"112"	40	112	29	0	"Genetic"
"113"	67	113	29	0	"Genetic"
"114"	7	114	28	0	"Genetic"
"115"	53	115	28	0	"Genetic"
"116"	39	116	27	0	"Genetic"
"117"	106	117	27	0	"Genetic"
"118"	18	118	26	0	"Genetic"
"119"	29	119	26	0	"Genetic"
"120"	56	120	26	0	"Genetic"
"121"	15	121	25	0	"Genetic"
"122"	56	122	25	0	"Genetic"
"123"	59	123	24	0	"Genetic"
"124"	95	124	24	0	"Genetic"
"125"	102	125	24	0	"Genetic"
"126"	54	126	22	0	"Genetic"
"127"	55	127	22	0	"Genetic"
"128"	58	128	22	0	"Genetic"
"129"	20	129	21	0	"Genetic"
"130"	10	130	20	0	"Genetic"
"131"	18	131	20	0	"Genetic"
"132"	27	132	20	0	"Genetic"
"133"	17	133	19	0	"Genetic"
"134"	132	134	18	0	"Genetic"
"135"	57	135	16	0	"Genetic"
"136"	64	136	16	2	"Genetic"
"137"	66	137	16	0	"Genetic"
"138"	30	138	15	0	"Genetic"
"139"	76	139	15	0	"Genetic"
"140"	130	140	15	0	"Genetic"
"141"	133	141	15	0	"Genetic"
"142"	61	142	13	0	"Genetic"
"143"	62	143	13	0	"Genetic"
"144"	69	144	13	0	"Genetic"
"145"	2	145	12	0	"Genetic"
"146"	4	146	12	0	"Genetic"
"147"	33	147	12	0	"Genetic"
"148"	63	148	12	0	"Genetic"
"149"	39	149	10	0	"Genetic"
"150"	59	150	10	0	"Genetic"
"151"	28	151	8	0	"Genetic"
"152"	31	152	8	0	"Genetic"
"153"	49	153	8	0	"Genetic"
"154"	73	154	8	0	"Genetic"
"155"	58	155	7	0	"Genetic"
"156"	72	156	7	0	"Genetic"
"157"	37	157	6	0	"Genetic"
"158"	70	158	6	0	"Genetic"
"159"	144	159	6	0	"Genetic"
"160"	67	160	5	0	"Genetic"
"161"	74	161	5	0	"Genetic"
"162"	93	162	5	0	"Genetic"
"163"	26	163	4	0	"Genetic"
"164"	9	164	2	0	"Genetic"
"165"	68	165	1	0	"Genetic"
"166"	146	166	0	0	"Genetic"
