"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	1	4	174	0	"Genetic"
"5"	2	5	162	0	"Genetic"
"6"	1	6	106	0	"Genetic"
"7"	4	7	103	0	"Genetic"
"8"	5	8	90	0	"Genetic"
"9"	2	9	88	0	"Genetic"
"10"	7	10	33	0	"Genetic"
"11"	1	11	30	0	"Genetic"
"12"	4	12	25	0	"Genetic"
"13"	6	13	18	0	"Genetic"
"14"	9	14	4	0	"Genetic"
"15"	2	15	2	0	"Genetic"
