"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	500	0	"ROOT"
"2"	1	2	500	0	"GENETIC"
"3"	1	3	500	0	"GENETIC"
"4"	2	4	433	0	"Genetic"
"5"	1	5	427	0	"Genetic"
"6"	2	6	363	0	"Genetic"
"7"	4	7	363	0	"Genetic"
"8"	5	8	360	0	"Genetic"
"9"	1	9	354	0	"Genetic"
"10"	4	10	295	0	"Genetic"
"11"	6	11	294	0	"Genetic"
"12"	2	12	291	0	"Genetic"
"13"	5	13	286	0	"Genetic"
"14"	9	14	286	0	"Genetic"
"15"	7	15	285	0	"Genetic"
"16"	1	16	284	0	"Genetic"
"17"	8	17	267	0	"Genetic"
"18"	2	18	220	0	"Genetic"
"19"	11	19	218	0	"Genetic"
"20"	4	20	217	0	"Genetic"
"21"	6	21	214	0	"Genetic"
"22"	5	22	210	0	"Genetic"
"23"	14	23	209	0	"Genetic"
"24"	15	24	207	0	"Genetic"
"25"	16	25	206	0	"Genetic"
"26"	1	26	205	0	"Genetic"
"27"	12	27	205	0	"Genetic"
"28"	13	28	204	0	"Genetic"
"29"	7	29	197	0	"Genetic"
"30"	10	30	196	0	"Genetic"
"31"	9	31	188	0	"Genetic"
"32"	8	32	175	0	"Genetic"
"33"	17	33	159	0	"Genetic"
"34"	11	34	114	0	"Genetic"
"35"	19	35	114	0	"Genetic"
"36"	20	36	110	0	"Genetic"
"37"	14	37	109	0	"Genetic"
"38"	4	38	104	0	"Genetic"
"39"	25	39	103	0	"Genetic"
"40"	2	40	102	0	"Genetic"
"41"	12	41	101	0	"Genetic"
"42"	18	42	100	0	"Genetic"
"43"	7	43	98	0	"Genetic"
"44"	22	44	98	0	"Genetic"
"45"	26	45	97	0	"Genetic"
"46"	15	46	96	0	"Genetic"
"47"	31	47	96	0	"Genetic"
"48"	30	48	94	0	"Genetic"
"49"	1	49	92	0	"Genetic"
"50"	5	50	91	0	"Genetic"
"51"	13	51	90	0	"Genetic"
"52"	6	52	89	0	"Genetic"
"53"	24	53	87	0	"Genetic"
"54"	9	54	80	0	"Genetic"
"55"	10	55	80	0	"Genetic"
"56"	21	56	80	0	"Genetic"
"57"	28	57	78	0	"Genetic"
"58"	32	58	78	0	"Genetic"
"59"	8	59	70	0	"Genetic"
"60"	16	60	70	0	"Genetic"
"61"	29	61	68	0	"Genetic"
"62"	33	62	65	0	"Genetic"
"63"	25	63	33	0	"Genetic"
"64"	37	64	32	0	"Genetic"
"65"	4	65	31	0	"Genetic"
"66"	14	66	30	0	"Genetic"
"67"	36	67	29	0	"Genetic"
"68"	38	68	29	0	"Genetic"
"69"	39	69	29	0	"Genetic"
"70"	35	70	28	0	"Genetic"
"71"	49	71	26	0	"Genetic"
"72"	31	72	25	0	"Genetic"
"73"	2	73	24	0	"Genetic"
"74"	20	74	24	0	"Genetic"
"75"	44	75	24	0	"Genetic"
"76"	15	76	17	0	"Genetic"
"77"	47	77	15	0	"Genetic"
"78"	22	78	13	0	"Genetic"
"79"	46	79	9	0	"Genetic"
"80"	50	80	9	0	"Genetic"
"81"	23	81	8	0	"Genetic"
"82"	30	82	6	0	"Genetic"
"83"	45	83	6	0	"Genetic"
"84"	13	84	5	0	"Genetic"
"85"	26	85	3	0	"Genetic"
